korean,category_guess,source_sentence,is_registered,matched_glossary_term,note
도구 준비해,준비물,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,N,색칠 도구; 도화지,preferred_vi 입력 필요
도구준비해,준비물,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,N,색칠 도구; 도화지,preferred_vi 입력 필요
도화지,준비물,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,Y,색칠 도구; 도화지,기존 사전 용어
상상화,준비물,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,N,색칠 도구; 도화지,preferred_vi 입력 필요
색칠 도구,준비물,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,Y,색칠 도구; 도화지,기존 사전 용어
색칠 도구 준비해,준비물,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,N,색칠 도구; 도화지,preferred_vi 입력 필요
색칠도구준비해,준비물,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,N,색칠 도구; 도화지,preferred_vi 입력 필요
준비해,준비물,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,N,색칠 도구; 도화지,preferred_vi 입력 필요
채색도구,준비물,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,N,색칠 도구; 도화지,preferred_vi 입력 필요
채색 도구 준비해,준비물,과학 상상화 그리기 대회 참가자는 도화지와 채색 도구를 준비해 주세요,N,도화지,preferred_vi 입력 필요
채색도구준비해,준비물,과학 상상화 그리기 대회 참가자는 도화지와 채색 도구를 준비해 주세요,N,도화지,preferred_vi 입력 필요
평가,기타,5월 둘째 주에 학업성취도 평가가 있습니다,N,,preferred_vi 입력 필요
학업성취,기타,5월 둘째 주에 학업성취도 평가가 있습니다,N,,preferred_vi 입력 필요
검사,기타,정서행동 온라인 검사에 참여해 주세요,N,,preferred_vi 입력 필요
검사 참여해,기타,정서행동 온라인 검사에 참여해 주세요,N,,preferred_vi 입력 필요
검사참여해,기타,정서행동 온라인 검사에 참여해 주세요,N,,preferred_vi 입력 필요
온라인,기타,정서행동 온라인 검사에 참여해 주세요,N,,preferred_vi 입력 필요
온라인 검사,기타,정서행동 온라인 검사에 참여해 주세요,N,,preferred_vi 입력 필요
온라인 검사 참여해,기타,정서행동 온라인 검사에 참여해 주세요,N,,preferred_vi 입력 필요
온라인검사,기타,정서행동 온라인 검사에 참여해 주세요,N,,preferred_vi 입력 필요
온라인검사참여해,기타,정서행동 온라인 검사에 참여해 주세요,N,,preferred_vi 입력 필요
정서행동 온라인 검사,기타,정서행동 온라인 검사에 참여해 주세요,N,,preferred_vi 입력 필요
정서행동검사,기타,정서행동 온라인 검사에 참여해 주세요,N,,preferred_vi 입력 필요
정서행동온라인검사,기타,정서행동 온라인 검사에 참여해 주세요,N,,preferred_vi 입력 필요
안내문,기타,학생 정서행동 특성검사 안내문을 읽고 온라인 검사에 참여해 주세요,Y,안내문,기존 사전 용어
안내문 읽고,기타,학생 정서행동 특성검사 안내문을 읽고 온라인 검사에 참여해 주세요,N,안내문,preferred_vi 입력 필요
안내문 읽고 온라인,기타,학생 정서행동 특성검사 안내문을 읽고 온라인 검사에 참여해 주세요,N,안내문,preferred_vi 입력 필요
안내문읽고,기타,학생 정서행동 특성검사 안내문을 읽고 온라인 검사에 참여해 주세요,N,안내문,preferred_vi 입력 필요
안내문읽고온라인,기타,학생 정서행동 특성검사 안내문을 읽고 온라인 검사에 참여해 주세요,N,안내문,preferred_vi 입력 필요
읽고 온라인 검사,기타,학생 정서행동 특성검사 안내문을 읽고 온라인 검사에 참여해 주세요,N,안내문,preferred_vi 입력 필요
읽고온라인검사,기타,학생 정서행동 특성검사 안내문을 읽고 온라인 검사에 참여해 주세요,N,안내문,preferred_vi 입력 필요
정서행동 특성검사,기타,학생 정서행동 특성검사 안내문을 읽고 온라인 검사에 참여해 주세요,N,안내문,preferred_vi 입력 필요
정서행동 특성검사 안내문,기타,학생 정서행동 특성검사 안내문을 읽고 온라인 검사에 참여해 주세요,N,안내문,preferred_vi 입력 필요
정서행동특성검사,기타,학생 정서행동 특성검사 안내문을 읽고 온라인 검사에 참여해 주세요,N,안내문,preferred_vi 입력 필요
정서행동특성검사안내문,기타,학생 정서행동 특성검사 안내문을 읽고 온라인 검사에 참여해 주세요,N,안내문,preferred_vi 입력 필요
특성검사,기타,학생 정서행동 특성검사 안내문을 읽고 온라인 검사에 참여해 주세요,N,안내문,preferred_vi 입력 필요
특성검사 안내문,기타,학생 정서행동 특성검사 안내문을 읽고 온라인 검사에 참여해 주세요,N,안내문,preferred_vi 입력 필요
특성검사 안내문 읽고,기타,학생 정서행동 특성검사 안내문을 읽고 온라인 검사에 참여해 주세요,N,안내문,preferred_vi 입력 필요
특성검사안내문,기타,학생 정서행동 특성검사 안내문을 읽고 온라인 검사에 참여해 주세요,N,안내문,preferred_vi 입력 필요
특성검사안내문읽고,기타,학생 정서행동 특성검사 안내문을 읽고 온라인 검사에 참여해 주세요,N,안내문,preferred_vi 입력 필요
사진촬영,비용,사진 찍는 날 원복을 입혀 주세요,N,원복,preferred_vi 입력 필요
원복,비용,사진 찍는 날 원복을 입혀 주세요,Y,원복,기존 사전 용어
등원,일정,사진 촬영일에는 원복을 입고 등원해 주세요,Y,등원; 원복,기존 사전 용어
등원해,일정,사진 촬영일에는 원복을 입고 등원해 주세요,N,등원; 원복,preferred_vi 입력 필요
촬영일,일정,사진 촬영일에는 원복을 입고 등원해 주세요,N,등원; 원복,preferred_vi 입력 필요
불참,일정,체험학습에 가지 않으면 학교 프로그램을 합니다,Y,체험학습,기존 사전 용어
체험학습,일정,체험학습에 가지 않으면 학교 프로그램을 합니다,Y,체험학습,기존 사전 용어
체험학습 가지,일정,체험학습에 가지 않으면 학교 프로그램을 합니다,N,체험학습,preferred_vi 입력 필요
체험학습 가지 않으면,일정,체험학습에 가지 않으면 학교 프로그램을 합니다,N,체험학습,preferred_vi 입력 필요
체험학습가지,일정,체험학습에 가지 않으면 학교 프로그램을 합니다,N,체험학습,preferred_vi 입력 필요
체험학습가지않으면,일정,체험학습에 가지 않으면 학교 프로그램을 합니다,N,체험학습,preferred_vi 입력 필요
체험학습 불참,일정,체험학습 불참 학생은 학교에서 별도 프로그램에 참여합니다,N,체험학습; 불참,preferred_vi 입력 필요
체험학습 불참 별,일정,체험학습 불참 학생은 학교에서 별도 프로그램에 참여합니다,N,체험학습; 불참,preferred_vi 입력 필요
체험학습불참,일정,체험학습 불참 학생은 학교에서 별도 프로그램에 참여합니다,N,체험학습; 불참,preferred_vi 입력 필요
체험학습불참별,일정,체험학습 불참 학생은 학교에서 별도 프로그램에 참여합니다,N,체험학습; 불참,preferred_vi 입력 필요
개별시간,일정,4월 둘째 주에 학부모 상담이 있습니다,N,학부모 상담; 상담,preferred_vi 입력 필요
둘째 주에 상담,일정,4월 둘째 주에 학부모 상담이 있습니다,N,학부모 상담; 상담,preferred_vi 입력 필요
둘째주에상담,일정,4월 둘째 주에 학부모 상담이 있습니다,N,학부모 상담; 상담,preferred_vi 입력 필요
상담,일정,4월 둘째 주에 학부모 상담이 있습니다,Y,학부모 상담; 상담,기존 사전 용어
주에 상담,일정,4월 둘째 주에 학부모 상담이 있습니다,N,학부모 상담; 상담,preferred_vi 입력 필요
주에상담,일정,4월 둘째 주에 학부모 상담이 있습니다,N,학부모 상담; 상담,preferred_vi 입력 필요
학부모 상담,일정,4월 둘째 주에 학부모 상담이 있습니다,Y,학부모 상담; 상담,기존 사전 용어
학부모상담,일정,4월 둘째 주에 학부모 상담이 있습니다,N,학부모 상담; 상담,preferred_vi 입력 필요
상담 4월,일정,학부모 상담은 4월 둘째 주에 개별 시간으로 진행됩니다,N,학부모 상담; 상담,preferred_vi 입력 필요
상담 4월 둘째,일정,학부모 상담은 4월 둘째 주에 개별 시간으로 진행됩니다,N,학부모 상담; 상담,preferred_vi 입력 필요
상담4월,일정,학부모 상담은 4월 둘째 주에 개별 시간으로 진행됩니다,N,학부모 상담; 상담,preferred_vi 입력 필요
상담4월둘째,일정,학부모 상담은 4월 둘째 주에 개별 시간으로 진행됩니다,N,학부모 상담; 상담,preferred_vi 입력 필요
고치려면 증빙자료,기타,생활기록부를 고치려면 증빙자료를 내 주세요,N,,preferred_vi 입력 필요
고치려면증빙자료,기타,생활기록부를 고치려면 증빙자료를 내 주세요,N,,preferred_vi 입력 필요
생활기록부,기타,생활기록부를 고치려면 증빙자료를 내 주세요,N,,preferred_vi 입력 필요
생활기록부 고치려면 증빙자료,기타,생활기록부를 고치려면 증빙자료를 내 주세요,N,,preferred_vi 입력 필요
생활기록부고치려면증빙자료,기타,생활기록부를 고치려면 증빙자료를 내 주세요,N,,preferred_vi 입력 필요
증빙자료,기타,생활기록부를 고치려면 증빙자료를 내 주세요,N,,preferred_vi 입력 필요
경우 증빙자료,제출,학교생활기록부 정정을 원하는 경우 증빙자료를 함께 제출해 주세요,N,제출,preferred_vi 입력 필요
경우 증빙자료 함께,제출,학교생활기록부 정정을 원하는 경우 증빙자료를 함께 제출해 주세요,N,제출,preferred_vi 입력 필요
경우증빙자료,제출,학교생활기록부 정정을 원하는 경우 증빙자료를 함께 제출해 주세요,N,제출,preferred_vi 입력 필요
경우증빙자료함께,제출,학교생활기록부 정정을 원하는 경우 증빙자료를 함께 제출해 주세요,N,제출,preferred_vi 입력 필요
원하,제출,학교생활기록부 정정을 원하는 경우 증빙자료를 함께 제출해 주세요,N,제출,preferred_vi 입력 필요
원하 경우 증빙자료,제출,학교생활기록부 정정을 원하는 경우 증빙자료를 함께 제출해 주세요,N,제출,preferred_vi 입력 필요
원하경우증빙자료,제출,학교생활기록부 정정을 원하는 경우 증빙자료를 함께 제출해 주세요,N,제출,preferred_vi 입력 필요
제출,제출,학교생활기록부 정정을 원하는 경우 증빙자료를 함께 제출해 주세요,Y,제출,기존 사전 용어
제출해,제출,학교생활기록부 정정을 원하는 경우 증빙자료를 함께 제출해 주세요,N,제출,preferred_vi 입력 필요
증빙자료 함께,제출,학교생활기록부 정정을 원하는 경우 증빙자료를 함께 제출해 주세요,N,제출,preferred_vi 입력 필요
증빙자료 함께 제출해,제출,학교생활기록부 정정을 원하는 경우 증빙자료를 함께 제출해 주세요,N,제출,preferred_vi 입력 필요
증빙자료함께,제출,학교생활기록부 정정을 원하는 경우 증빙자료를 함께 제출해 주세요,N,제출,preferred_vi 입력 필요
증빙자료함께제출해,제출,학교생활기록부 정정을 원하는 경우 증빙자료를 함께 제출해 주세요,N,제출,preferred_vi 입력 필요
30000원,비용,돌봄교실 간식비 30000원을 매월 초에 냅니다,N,돌봄교실; 간식비; 간식,preferred_vi 입력 필요
간식,비용,돌봄교실 간식비 30000원을 매월 초에 냅니다,Y,돌봄교실; 간식비; 간식,기존 사전 용어
간식비,비용,돌봄교실 간식비 30000원을 매월 초에 냅니다,Y,돌봄교실; 간식비; 간식,기존 사전 용어
간식비 30000원,비용,돌봄교실 간식비 30000원을 매월 초에 냅니다,N,돌봄교실; 간식비; 간식,preferred_vi 입력 필요
간식비 30000원 초,비용,돌봄교실 간식비 30000원을 매월 초에 냅니다,N,돌봄교실; 간식비; 간식,preferred_vi 입력 필요
간식비30000원,비용,돌봄교실 간식비 30000원을 매월 초에 냅니다,N,돌봄교실; 간식비; 간식,preferred_vi 입력 필요
간식비30000원초,비용,돌봄교실 간식비 30000원을 매월 초에 냅니다,N,돌봄교실; 간식비; 간식,preferred_vi 입력 필요
돌봄교실,비용,돌봄교실 간식비 30000원을 매월 초에 냅니다,Y,돌봄교실; 간식비; 간식,기존 사전 용어
돌봄교실 간식비,비용,돌봄교실 간식비 30000원을 매월 초에 냅니다,N,돌봄교실; 간식비; 간식,preferred_vi 입력 필요
돌봄교실 간식비 30000원,비용,돌봄교실 간식비 30000원을 매월 초에 냅니다,N,돌봄교실; 간식비; 간식,preferred_vi 입력 필요
돌봄교실간식비,비용,돌봄교실 간식비 30000원을 매월 초에 냅니다,N,돌봄교실; 간식비; 간식,preferred_vi 입력 필요
돌봄교실간식비30000원,비용,돌봄교실 간식비 30000원을 매월 초에 냅니다,N,돌봄교실; 간식비; 간식,preferred_vi 입력 필요
간식비 30000원 납부합니다,비용,돌봄교실 간식비 30000원은 매월 초 납부합니다,N,돌봄교실; 간식비; 간식; 납부,preferred_vi 입력 필요
간식비30000원납부합니다,비용,돌봄교실 간식비 30000원은 매월 초 납부합니다,N,돌봄교실; 간식비; 간식; 납부,preferred_vi 입력 필요
납부,비용,돌봄교실 간식비 30000원은 매월 초 납부합니다,Y,돌봄교실; 간식비; 간식; 납부,기존 사전 용어
납부합니다,비용,돌봄교실 간식비 30000원은 매월 초 납부합니다,N,돌봄교실; 간식비; 간식; 납부,preferred_vi 입력 필요
25000원,일정,방과후학교 수강료 25000원이 다음 달 5일에 빠져나갑니다,N,방과후학교,preferred_vi 입력 필요
5일,일정,방과후학교 수강료 25000원이 다음 달 5일에 빠져나갑니다,N,방과후학교,preferred_vi 입력 필요
방과후학교,일정,방과후학교 수강료 25000원이 다음 달 5일에 빠져나갑니다,Y,방과후학교,기존 사전 용어
방과후학교 수강료,일정,방과후학교 수강료 25000원이 다음 달 5일에 빠져나갑니다,N,방과후학교,preferred_vi 입력 필요
방과후학교 수강료 25000원,일정,방과후학교 수강료 25000원이 다음 달 5일에 빠져나갑니다,N,방과후학교,preferred_vi 입력 필요
방과후학교수강료,일정,방과후학교 수강료 25000원이 다음 달 5일에 빠져나갑니다,N,방과후학교,preferred_vi 입력 필요
방과후학교수강료25000원,일정,방과후학교 수강료 25000원이 다음 달 5일에 빠져나갑니다,N,방과후학교,preferred_vi 입력 필요
수강료,일정,방과후학교 수강료 25000원이 다음 달 5일에 빠져나갑니다,N,방과후학교,preferred_vi 입력 필요
수강료 25000원,일정,방과후학교 수강료 25000원이 다음 달 5일에 빠져나갑니다,N,방과후학교,preferred_vi 입력 필요
수강료 25000원 5일,일정,방과후학교 수강료 25000원이 다음 달 5일에 빠져나갑니다,N,방과후학교,preferred_vi 입력 필요
수강료25000원,일정,방과후학교 수강료 25000원이 다음 달 5일에 빠져나갑니다,N,방과후학교,preferred_vi 입력 필요
수강료25000원5일,일정,방과후학교 수강료 25000원이 다음 달 5일에 빠져나갑니다,N,방과후학교,preferred_vi 입력 필요
자동이체,일정,방과후학교 수강료 25000원은 다음 달 5일 자동이체됩니다,Y,방과후학교; 자동이체,기존 사전 용어
운동회,기타,운동회 날 흰색 티셔츠와 편한 바지를 입혀 주세요,Y,운동회,기존 사전 용어
흰색티셔츠,기타,운동회 날 흰색 티셔츠와 편한 바지를 입혀 주세요,N,운동회,preferred_vi 입력 필요
담임교사,기타,전학할 예정이면 담임선생님께 알려 주세요,Y,전학,기존 사전 용어
전학,기타,전학할 예정이면 담임선생님께 알려 주세요,Y,전학,기존 사전 용어
수건,기타,칫솔 컵 수건에 이름을 붙여 보내 주세요,Y,수건; 칫솔; 컵,기존 사전 용어
칫솔,기타,칫솔 컵 수건에 이름을 붙여 보내 주세요,Y,수건; 칫솔; 컵,기존 사전 용어
컵,기타,칫솔 컵 수건에 이름을 붙여 보내 주세요,Y,수건; 칫솔; 컵,기존 사전 용어
10시 대피훈련,일정,5월 23일 오전 10시에 대피훈련을 합니다,N,,preferred_vi 입력 필요
10시대피훈련,일정,5월 23일 오전 10시에 대피훈련을 합니다,N,,preferred_vi 입력 필요
23일,일정,5월 23일 오전 10시에 대피훈련을 합니다,N,,preferred_vi 입력 필요
23일 10시 대피훈련,일정,5월 23일 오전 10시에 대피훈련을 합니다,N,,preferred_vi 입력 필요
23일10시대피훈련,일정,5월 23일 오전 10시에 대피훈련을 합니다,N,,preferred_vi 입력 필요
대피훈련,일정,5월 23일 오전 10시에 대피훈련을 합니다,N,,preferred_vi 입력 필요
재난대피훈련,일정,5월 23일 오전 10시에 대피훈련을 합니다,Y,,기존 사전 용어
재난대피훈련 5월,일정,재난대피훈련은 5월 23일 오전 10시에 실시됩니다,N,재난대피훈련,preferred_vi 입력 필요
재난대피훈련 5월 23일,일정,재난대피훈련은 5월 23일 오전 10시에 실시됩니다,N,재난대피훈련,preferred_vi 입력 필요
재난대피훈련5월,일정,재난대피훈련은 5월 23일 오전 10시에 실시됩니다,N,재난대피훈련,preferred_vi 입력 필요
재난대피훈련5월23일,일정,재난대피훈련은 5월 23일 오전 10시에 실시됩니다,N,재난대피훈련,preferred_vi 입력 필요
귀가 동의,제출,응급처치와 귀가 동의서를 꼭 내 주세요,Y,귀가 동의서; 귀가 동의; 응급처치; 동의서,기존 사전 용어
귀가 동의서,제출,응급처치와 귀가 동의서를 꼭 내 주세요,Y,귀가 동의서; 귀가 동의; 응급처치; 동의서,기존 사전 용어
귀가동의서,제출,응급처치와 귀가 동의서를 꼭 내 주세요,N,귀가 동의서; 귀가 동의; 응급처치; 동의서,preferred_vi 입력 필요
동의서,제출,응급처치와 귀가 동의서를 꼭 내 주세요,Y,귀가 동의서; 귀가 동의; 응급처치; 동의서,기존 사전 용어
응급처치,제출,응급처치와 귀가 동의서를 꼭 내 주세요,Y,귀가 동의서; 귀가 동의; 응급처치; 동의서,기존 사전 용어
응급처치 귀가 동의서,제출,응급처치와 귀가 동의서를 꼭 내 주세요,N,귀가 동의서; 귀가 동의; 응급처치; 동의서,preferred_vi 입력 필요
응급처치귀가동의서,제출,응급처치와 귀가 동의서를 꼭 내 주세요,N,귀가 동의서; 귀가 동의; 응급처치; 동의서,preferred_vi 입력 필요
귀가 동의서 반드시,제출,응급처치 및 귀가 동의서를 반드시 제출해 주세요,N,귀가 동의서; 귀가 동의; 응급처치; 동의서; 제출; 반,preferred_vi 입력 필요
귀가동의서반드시,제출,응급처치 및 귀가 동의서를 반드시 제출해 주세요,N,귀가 동의서; 귀가 동의; 응급처치; 동의서; 제출; 반,preferred_vi 입력 필요
동의서 반드시,제출,응급처치 및 귀가 동의서를 반드시 제출해 주세요,N,귀가 동의서; 귀가 동의; 응급처치; 동의서; 제출; 반,preferred_vi 입력 필요
동의서 반드시 제출해,제출,응급처치 및 귀가 동의서를 반드시 제출해 주세요,N,귀가 동의서; 귀가 동의; 응급처치; 동의서; 제출; 반,preferred_vi 입력 필요
동의서반드시,제출,응급처치 및 귀가 동의서를 반드시 제출해 주세요,N,귀가 동의서; 귀가 동의; 응급처치; 동의서; 제출; 반,preferred_vi 입력 필요
동의서반드시제출해,제출,응급처치 및 귀가 동의서를 반드시 제출해 주세요,N,귀가 동의서; 귀가 동의; 응급처치; 동의서; 제출; 반,preferred_vi 입력 필요
반,제출,응급처치 및 귀가 동의서를 반드시 제출해 주세요,Y,귀가 동의서; 귀가 동의; 응급처치; 동의서; 제출; 반,기존 사전 용어
보낼 투약 의뢰서,기타,약을 보낼 때 투약 의뢰서를 같이 써 주세요,N,투약 의뢰서,preferred_vi 입력 필요
보낼투약의뢰서,기타,약을 보낼 때 투약 의뢰서를 같이 써 주세요,N,투약 의뢰서,preferred_vi 입력 필요
의뢰서,기타,약을 보낼 때 투약 의뢰서를 같이 써 주세요,N,투약 의뢰서,preferred_vi 입력 필요
투약 의뢰서,기타,약을 보낼 때 투약 의뢰서를 같이 써 주세요,Y,투약 의뢰서,기존 사전 용어
투약의뢰서,기타,약을 보낼 때 투약 의뢰서를 같이 써 주세요,N,투약 의뢰서,preferred_vi 입력 필요
경우 투약 의뢰서,기타,약을 보내는 경우 투약 의뢰서를 함께 작성해 주세요,N,투약 의뢰서,preferred_vi 입력 필요
경우투약의뢰서,기타,약을 보내는 경우 투약 의뢰서를 함께 작성해 주세요,N,투약 의뢰서,preferred_vi 입력 필요
의뢰서 함께,기타,약을 보내는 경우 투약 의뢰서를 함께 작성해 주세요,N,투약 의뢰서,preferred_vi 입력 필요
의뢰서 함께 작성해,기타,약을 보내는 경우 투약 의뢰서를 함께 작성해 주세요,N,투약 의뢰서,preferred_vi 입력 필요
의뢰서함께,기타,약을 보내는 경우 투약 의뢰서를 함께 작성해 주세요,N,투약 의뢰서,preferred_vi 입력 필요
의뢰서함께작성해,기타,약을 보내는 경우 투약 의뢰서를 함께 작성해 주세요,N,투약 의뢰서,preferred_vi 입력 필요
투약 의뢰서 함께,기타,약을 보내는 경우 투약 의뢰서를 함께 작성해 주세요,N,투약 의뢰서,preferred_vi 입력 필요
투약의뢰서함께,기타,약을 보내는 경우 투약 의뢰서를 함께 작성해 주세요,N,투약 의뢰서,preferred_vi 입력 필요
10월18일,일정,10월 18일에 가을 숲놀이를 합니다,N,,preferred_vi 입력 필요
18일,일정,10월 18일에 가을 숲놀이를 합니다,N,,preferred_vi 입력 필요
숲놀,일정,10월 18일에 가을 숲놀이를 합니다,N,,preferred_vi 입력 필요
금요일,일정,가을 숲놀이 활동은 10월 18일 금요일에 진행됩니다,N,,preferred_vi 입력 필요
머릿니,기타,집에서 머릿니가 있는지 확인해 주세요,Y,머릿니,기존 사전 용어
위생,기타,집에서 머릿니가 있는지 확인해 주세요,N,머릿니,preferred_vi 입력 필요
예방,건강·안전,머릿니 예방을 위해 가정에서 머리 상태를 확인해 주세요,N,머릿니,preferred_vi 입력 필요
40000원입니다,비용,영어 캠프 참가비는 40000원입니다,N,,preferred_vi 입력 필요
영어 캠프 참가비,비용,영어 캠프 참가비는 40000원입니다,N,,preferred_vi 입력 필요
영어캠프,비용,영어 캠프 참가비는 40000원입니다,N,,preferred_vi 입력 필요
영어캠프참가비,비용,영어 캠프 참가비는 40000원입니다,N,,preferred_vi 입력 필요
참가비,비용,영어 캠프 참가비는 40000원입니다,N,,preferred_vi 입력 필요
참가비 40000원입니다,비용,영어 캠프 참가비는 40000원입니다,N,,preferred_vi 입력 필요
참가비40000원입니다,비용,영어 캠프 참가비는 40000원입니다,N,,preferred_vi 입력 필요
캠프 참가비,비용,영어 캠프 참가비는 40000원입니다,N,,preferred_vi 입력 필요
캠프 참가비 40000원입니다,비용,영어 캠프 참가비는 40000원입니다,N,,preferred_vi 입력 필요
캠프참가비,비용,영어 캠프 참가비는 40000원입니다,N,,preferred_vi 입력 필요
캠프참가비40000원입니다,비용,영어 캠프 참가비는 40000원입니다,N,,preferred_vi 입력 필요
김장체험,준비물,앞치마와 머릿수건을 준비해 주세요,N,머릿수건; 앞치마; 수건,preferred_vi 입력 필요
머릿수건,준비물,앞치마와 머릿수건을 준비해 주세요,Y,머릿수건; 앞치마; 수건,기존 사전 용어
머릿수건 준비해,준비물,앞치마와 머릿수건을 준비해 주세요,N,머릿수건; 앞치마; 수건,preferred_vi 입력 필요
머릿수건준비해,준비물,앞치마와 머릿수건을 준비해 주세요,N,머릿수건; 앞치마; 수건,preferred_vi 입력 필요
앞치마,준비물,앞치마와 머릿수건을 준비해 주세요,Y,머릿수건; 앞치마; 수건,기존 사전 용어
앞치마 머릿수건 준비해,준비물,앞치마와 머릿수건을 준비해 주세요,N,머릿수건; 앞치마; 수건,preferred_vi 입력 필요
앞치마머릿수건준비해,준비물,앞치마와 머릿수건을 준비해 주세요,N,머릿수건; 앞치마; 수건,preferred_vi 입력 필요
결석연락,기타,버스를 타지 않으면 오전 8시 30분 전까지 알려 주세요,N,,preferred_vi 입력 필요
통학버스,기타,버스를 타지 않으면 오전 8시 30분 전까지 알려 주세요,N,,preferred_vi 입력 필요
결석,기타,통학버스 결석 연락은 오전 8시 30분 전까지 해 주세요,Y,결석,기존 사전 용어
상담 필요하면,일정,평가 상담이 필요하면 담임선생님께 연락해 주세요,N,상담,preferred_vi 입력 필요
상담 필요하면 담임선생님께,일정,평가 상담이 필요하면 담임선생님께 연락해 주세요,N,상담,preferred_vi 입력 필요
상담필요하면,일정,평가 상담이 필요하면 담임선생님께 연락해 주세요,N,상담,preferred_vi 입력 필요
상담필요하면담임선생님께,일정,평가 상담이 필요하면 담임선생님께 연락해 주세요,N,상담,preferred_vi 입력 필요
평가 상담,일정,평가 상담이 필요하면 담임선생님께 연락해 주세요,N,상담,preferred_vi 입력 필요
평가 상담 필요하면,일정,평가 상담이 필요하면 담임선생님께 연락해 주세요,N,상담,preferred_vi 입력 필요
평가결,일정,평가 상담이 필요하면 담임선생님께 연락해 주세요,N,상담,preferred_vi 입력 필요
평가상담,일정,평가 상담이 필요하면 담임선생님께 연락해 주세요,N,상담,preferred_vi 입력 필요
평가상담필요하면,일정,평가 상담이 필요하면 담임선생님께 연락해 주세요,N,상담,preferred_vi 입력 필요
결과 상담,일정,평가 결과 상담이 필요한 경우 담임교사에게 연락해 주세요,N,담임교사; 상담,preferred_vi 입력 필요
결과 상담 필요한,일정,평가 결과 상담이 필요한 경우 담임교사에게 연락해 주세요,N,담임교사; 상담,preferred_vi 입력 필요
결과상담,일정,평가 결과 상담이 필요한 경우 담임교사에게 연락해 주세요,N,담임교사; 상담,preferred_vi 입력 필요
결과상담필요한,일정,평가 결과 상담이 필요한 경우 담임교사에게 연락해 주세요,N,담임교사; 상담,preferred_vi 입력 필요
상담 필요한,일정,평가 결과 상담이 필요한 경우 담임교사에게 연락해 주세요,N,담임교사; 상담,preferred_vi 입력 필요
상담 필요한 경우,일정,평가 결과 상담이 필요한 경우 담임교사에게 연락해 주세요,N,담임교사; 상담,preferred_vi 입력 필요
상담필요한,일정,평가 결과 상담이 필요한 경우 담임교사에게 연락해 주세요,N,담임교사; 상담,preferred_vi 입력 필요
상담필요한경우,일정,평가 결과 상담이 필요한 경우 담임교사에게 연락해 주세요,N,담임교사; 상담,preferred_vi 입력 필요
평가 결과 상담,일정,평가 결과 상담이 필요한 경우 담임교사에게 연락해 주세요,N,담임교사; 상담,preferred_vi 입력 필요
평가결과상담,일정,평가 결과 상담이 필요한 경우 담임교사에게 연락해 주세요,N,담임교사; 상담,preferred_vi 입력 필요
