batch_no,id,source_type,category,easy_korean,original_text,current_vietnamese,review_reason,human_vi,review_status
1,170,초등학교,제출,체험학습 보고서를 7일 안에 내야 출석으로 인정됩니다,체험학습 보고서는 등교 후 7일 이내에 제출해야 출석으로 인정됩니다,Phải nộp báo cáo trải nghiệm trong 7 ngày để được công nhận đi học,"category:제출|terms:체험학습|keywords:일,체험학습",Phải nộp báo cáo học tập trải nghiệm trong vòng 7 ngày mới được tính là đi học.,reviewed
2,174,초등학교,건강·안전,다음 주 등교 시간에 교통안전 캠페인을 합니다,교통안전 캠페인이 다음 주 등교 시간에 실시됩니다,,"category:건강·안전|terms:등교,교통안전|empty_vi",Sẽ có chiến dịch an toàn giao thông vào giờ đến trường tuần sau.,reviewed
3,175,유치원,준비물,수영복 여벌옷 수건 비닐봉투를 준비해 주세요,물놀이 준비물은 수영복 여벌옷 수건 비닐봉투입니다,Vui lòng chuẩn bị đồ bơi quần áo thay khăn và túi nilon,"category:준비물|terms:여벌옷,수건|keywords:준비","Vui lòng chuẩn bị đồ bơi, quần áo dự phòng, khăn tắm và túi nilon.",reviewed
4,180,초등학교,준비물,다음 주까지 풀 가위 색연필을 보내 주세요,학급 준비물로 풀 가위 색연필을 다음 주까지 보내 주세요,Vui lòng gửi hồ dán kéo và bút màu trước tuần sau,"category:준비물|terms:풀,가위|keywords:까지","Vui lòng gửi hồ dán, kéo và bút chì màu trước tuần sau.",reviewed
5,184,유치원,준비물,앞치마와 개인 마스크를 준비해 주세요,요리 활동을 위해 앞치마와 개인 마스크를 준비해 주세요,,category:준비물|terms:앞치마|keywords:준비|empty_vi,Vui lòng chuẩn bị tạp dề và khẩu trang cá nhân.,reviewed
6,186,유치원,기타,원복은 월요일과 행사일에 입습니다,원복 착용일은 매주 월요일과 행사일입니다,,"terms:원복|keywords:월,일,원복|empty_vi",Đồng phục trường được mặc vào thứ Hai và những ngày có sự kiện.,reviewed
7,190,초등학교,일정,6월 3일부터 6월 7일까지 생존수영을 합니다,생존수영 교육은 6월 3일부터 6월 7일까지 진행됩니다,Lớp bơi sinh tồn diễn ra từ ngày 3 đến ngày 7 tháng 6,"category:일정|keywords:월,일,까지",Sẽ học bơi sinh tồn từ ngày 3 tháng 6 đến ngày 7 tháng 6.,reviewed
8,198,유치원,비용,유아학비 지원 안내문을 보고 신청해 주세요,유아학비 지원 신청 안내문을 확인하고 기간 내 신청해 주세요,,category:비용|terms:안내문|keywords:신청|empty_vi,Vui lòng đọc thông báo hỗ trợ học phí mầm non và đăng ký.,reviewed
9,25,초등학교,제출,결석하면 오전 9시 전까지 이유를 앱에 써 주세요,결석 시에는 오전 9시 전까지 학교 앱으로 결석 사유를 입력해 주세요,Nếu nghỉ học vui lòng nhập lý do trên ứng dụng trước 9 giờ sáng,category:제출|terms:결석|keywords:까지,"Nếu vắng mặt, vui lòng viết lý do trên ứng dụng trước 9 giờ sáng.",reviewed
10,34,초등학교,준비물,사물함 이름표 스티커를 준비해 주세요,교실 사물함 정리를 위해 이름표 스티커를 준비해 주세요,,category:준비물|keywords:준비|empty_vi,Vui lòng chuẩn bị nhãn dán tên cho tủ đồ.,reviewed
11,36,유치원,일정,발표회 날 오전 9시까지 와 주세요,발표회 당일 아이들은 오전 9시까지 등원해야 합니다,,category:일정|keywords:까지|empty_vi,Vui lòng đến trước 9 giờ sáng vào ngày biểu diễn.,reviewed
12,37,초등학교,준비물,깨끗한 개인 물병을 매일 보내 주세요,개인 물병을 매일 세척하여 보내 주세요,Vui lòng gửi bình nước cá nhân sạch mỗi ngày,category:준비물|terms:개인 물병|keywords:일,Vui lòng gửi bình nước cá nhân sạch sẽ mỗi ngày.,reviewed
13,50,유치원,제출,귀가 시간이 바뀌면 키즈노트로 알려 주세요,방과후 과정 귀가 시간 변경은 키즈노트로 미리 알려 주세요,,category:제출|terms:키즈노트|empty_vi,"Nếu thời gian về nhà thay đổi, vui lòng thông báo qua Kids Note.",reviewed
14,61,유치원,제출,학부모 자원봉사는 먼저 신청한 순서로 받습니다,학부모 자원봉사 신청은 선착순으로 접수됩니다,,category:제출|keywords:신청|empty_vi,Tình nguyện viên phụ huynh sẽ được nhận theo thứ tự đăng ký trước.,reviewed
15,69,초등학교,건강·안전,태풍 때 등교 시간 변경은 앱으로 알려 줍니다,태풍 예보 시 등교 시간 변경 여부를 학교 앱으로 안내합니다,,category:건강·안전|terms:등교|empty_vi,Việc thay đổi giờ đến trường khi có bão sẽ được thông báo qua ứng dụng.,reviewed
16,70,초등학교,준비물,학예회 때 흰색 윗옷과 검정색 바지를 준비해 주세요,학예회 참가 의상은 흰색 상의와 검정색 하의입니다,Vui lòng chuẩn bị áo trắng và quần đen cho buổi biểu diễn,category:준비물|terms:학예회|keywords:준비,Vui lòng chuẩn bị áo trắng và quần đen cho buổi văn nghệ.,reviewed
17,78,유치원,제출,알레르기 여부를 설문으로 알려 주세요,요리 활동 알레르기 여부를 설문으로 응답해 주세요,,category:제출|terms:알레르기|empty_vi,Vui lòng thông báo tình trạng dị ứng qua bảng khảo sát.,reviewed
18,87,초등학교,비용,교육급여는 주민센터나 복지로에서 신청합니다,교육급여 신청은 주민센터 또는 온라인 복지로에서 가능합니다,,category:비용|keywords:신청|empty_vi,Trợ cấp giáo dục được đăng ký tại trung tâm cộng đồng hoặc Bokjiro.,reviewed
19,90,초등학교,건강·안전,감염병에 걸리면 학교에 오지 말고 연락해 주세요,감염병 확진 시 등교하지 말고 학교로 즉시 연락해 주세요,,category:건강·안전|terms:감염병|empty_vi,"Nếu mắc bệnh truyền nhiễm, vui lòng không đến trường và liên hệ với chúng tôi.",reviewed
20,98,유치원,준비물,숲놀이 날 긴팔 옷과 모자를 준비해 주세요,숲놀이 날에는 긴팔 옷과 모자를 준비해 주세요,,category:준비물|keywords:준비|empty_vi,Vui lòng chuẩn bị quần áo dài tay và mũ vào ngày chơi trong rừng.,reviewed
21,104,초등학교,건강·안전,6월 첫째 주에 실종 유괴 예방교육을 합니다,실종 유괴 예방교육이 6월 첫째 주에 실시됩니다,,category:건강·안전|keywords:월|empty_vi,Giáo dục phòng chống mất tích và bắt cóc sẽ được tổ chức vào tuần đầu tiên của tháng 6.,reviewed
22,106,유치원,건강·안전,감기 증상이 있으면 등원 전에 선생님께 연락해 주세요,감기 증상이 있는 경우 등원 전 담임교사에게 연락해 주세요,Nếu trẻ có triệu chứng cảm vui lòng liên hệ giáo viên trước khi đến lớp,category:건강·안전|terms:등원|keywords:등원,"Nếu có triệu chứng cảm lạnh, vui lòng liên hệ với giáo viên trước khi đến trường.",reviewed
23,111,초등학교,건강·안전,건강검진 전날 밤 9시 뒤에는 간식을 먹지 않게 해 주세요,건강검진 전날 밤 9시 이후에는 간식을 먹지 않도록 지도해 주세요,Vui lòng nhắc trẻ không ăn đồ ăn nhẹ sau 9 giờ tối trước ngày khám,"category:건강·안전|terms:간식,건강검진",Vui lòng không cho ăn vặt sau 9 giờ tối ngày hôm trước khi khám sức khỏe.,reviewed
24,130,초등학교,건강·안전,아동학대 예방 안내문을 확인해 주세요,가정 내 아동학대 예방 안내문을 보호자께서 확인해 주세요,,category:건강·안전|terms:안내문|empty_vi,Vui lòng kiểm tra thông báo phòng chống bạo hành trẻ em.,reviewed
25,131,초등학교,건강·안전,시력검사 후 병원 진료가 필요하면 안내문을 확인해 주세요,시력검사 결과 안과 진료가 필요한 학생은 가정통신문을 확인해 주세요,,category:건강·안전|terms:안내문|empty_vi,"Nếu cần điều trị tại bệnh viện sau khi kiểm tra thị lực, vui lòng kiểm tra thông báo.",reviewed
26,134,초등학교,제출,오전 9시 30분까지 원격수업 출석을 확인해 주세요,원격수업 출석 확인은 오전 9시 30분까지 완료해야 합니다,,category:제출|keywords:까지|empty_vi,Vui lòng xác nhận điểm danh lớp học từ xa trước 9:30 sáng.,reviewed
27,136,유치원,제출,참석 인원을 키즈노트로 알려 주세요,가족 참여 수업 참석 인원을 키즈노트로 알려 주세요,,category:제출|terms:키즈노트|empty_vi,Vui lòng thông báo số lượng người tham dự qua Kids Note.,reviewed
28,152,유치원,일정,7월 5일에 유치원에서 물놀이를 합니다,물놀이 활동은 7월 5일 금요일 유치원 마당에서 진행됩니다,Hoạt động chơi nước diễn ra ngày 5 tháng 7 tại sân trường mẫu giáo,"category:일정|keywords:월,일",Sẽ có hoạt động vui chơi dưới nước tại trường mẫu giáo vào ngày 5 tháng 7.,reviewed
29,154,유치원,건강·안전,동물 체험 전 손 씻기와 알레르기를 확인해 주세요,동물 체험 활동 전 손 씻기와 알레르기 확인이 필요합니다,,category:건강·안전|terms:알레르기|empty_vi,Vui lòng rửa tay và kiểm tra dị ứng trước khi trải nghiệm động vật.,reviewed
30,166,유치원,제출,졸업여행 희망 조사를 키즈노트로 내 주세요,졸업여행 희망 조사를 키즈노트 설문으로 제출해 주세요,,category:제출|terms:키즈노트|empty_vi,Vui lòng nộp khảo sát nguyện vọng đi chuyến đi tốt nghiệp qua Kids Note.,reviewed
