id,source_type,original_text,category,keywords,importance,action_required,easy_korean,vietnamese,tts_target
105,초등학교,스마트폰 과의존 예방교육 자료를 가정에서 함께 읽어 주세요,건강·안전,스마트폰|예방교육,0.65,Y,스마트폰 예방교육 자료를 함께 읽어 주세요,,Y
106,유치원,감기 증상이 있는 경우 등원 전 담임교사에게 연락해 주세요,건강·안전,감기|등원,0.9,Y,감기 증상이 있으면 등원 전에 선생님께 연락해 주세요,Nếu trẻ có triệu chứng cảm vui lòng liên hệ giáo viên trước khi đến lớp,Y
107,유치원,손 씻기 생활화를 위해 가정에서도 함께 지도해 주세요,건강·안전,손씻기|위생,0.7,Y,집에서도 손 씻기를 알려 주세요,,Y
108,초등학교,디지털 교과서 계정 안내장은 학생 편으로 배부됩니다,기타,디지털교과서|계정,0.5,N,디지털 교과서 계정 안내장을 나눠 줍니다,,N
109,유치원,실내 놀이용 미끄럼방지 양말을 보내 주세요,준비물,미끄럼방지양말|실내놀이,0.8,Y,미끄럼방지 양말을 보내 주세요,,Y
110,초등학교,수학여행 준비물은 세면도구 여벌옷 필기도구입니다,준비물,수학여행|세면도구|여벌옷,0.95,Y,세면도구 여벌옷 필기도구를 준비해 주세요,,Y
111,초등학교,건강검진 전날 밤 9시 이후에는 간식을 먹지 않도록 지도해 주세요,건강·안전,건강검진|금식,0.9,Y,건강검진 전날 밤 9시 뒤에는 간식을 먹지 않게 해 주세요,Vui lòng nhắc trẻ không ăn đồ ăn nhẹ sau 9 giờ tối trước ngày khám,Y
112,초등학교,알레르기 조사서를 4월 26일까지 학교종이 앱으로 제출해 주세요,제출,알레르기|조사서|학교종이,1.0,Y,4월 26일까지 알레르기 조사서를 앱으로 내 주세요,Vui lòng nộp phiếu khảo sát dị ứng qua ứng dụng trước ngày 26 tháng 4,Y
113,초등학교,봄 소풍은 5월 10일 금요일에 학교 운동장에서 출발합니다,일정,봄소풍|5월10일,0.9,Y,5월 10일 금요일에 봄 소풍을 갑니다,Chuyến dã ngoại mùa xuân diễn ra vào thứ Sáu ngày 10 tháng 5,Y
114,초등학교,졸업앨범비 62000원은 신청자에 한해 납부합니다,비용,졸업앨범비,0.8,Y,졸업앨범을 신청한 사람만 62000원을 냅니다,,Y
115,초등학교,사이버폭력 예방 실천 서약서를 금요일까지 제출해 주세요,제출,사이버폭력|서약서,0.95,Y,금요일까지 사이버폭력 예방 서약서를 내 주세요,,Y
116,초등학교,과학의 날 행사는 4월 21일 각 교실에서 진행됩니다,일정,과학의날|행사,0.7,N,4월 21일에 과학의 날 행사를 합니다,,N
117,초등학교,학급 단체 사진 구입비는 5000원입니다,비용,단체사진|구입비,0.75,Y,단체 사진 구입비는 5000원입니다,,Y
118,초등학교,생존수영 교육비 18000원은 스쿨뱅킹으로 인출됩니다,비용,생존수영|교육비,0.85,N,생존수영 교육비 18000원이 스쿨뱅킹으로 빠져나갑니다,Phí lớp bơi sinh tồn 18000 won sẽ được trừ qua school banking,N
119,유치원,수료식은 2월 14일 금요일 오전 10시에 각 교실에서 진행됩니다,일정,수료식|교실,0.85,Y,2월 14일 오전 10시에 수료식이 있습니다,,Y
120,초등학교,우유 급식비는 한 달 18000원이며 스쿨뱅킹으로 납부됩니다,비용,우유급식비|스쿨뱅킹,0.75,N,우유 급식비는 한 달 18000원입니다,,N
121,초등학교,독서 골든벨 지정 도서는 학교 홈페이지에서 확인할 수 있습니다,기타,독서골든벨|지정도서,0.5,N,지정 도서는 학교 홈페이지에서 볼 수 있습니다,,N
122,초등학교,흡연 예방교육 가정 연계 활동지를 작성해 제출해 주세요,제출,흡연예방|활동지,0.85,Y,흡연 예방 활동지를 써서 내 주세요,,Y
123,유치원,가족 참여 수업은 5월 11일 토요일 오전에 진행됩니다,일정,가족참여수업,0.85,Y,5월 11일 오전에 가족 참여 수업이 있습니다,,Y
124,초등학교,학급 사진 촬영은 5월 8일 수요일에 진행됩니다,일정,사진촬영,0.7,Y,5월 8일에 학급 사진을 찍습니다,Lớp sẽ chụp ảnh vào ngày 8 tháng 5,Y
125,유치원,현장학습 참가 동의서를 월요일까지 제출해 주세요,제출,현장학습|동의서,1.0,Y,월요일까지 현장학습 동의서를 내 주세요,,Y
126,초등학교,민방위 훈련 중에는 학교 안내 방송에 따라 이동합니다,건강·안전,민방위|훈련,0.55,N,훈련 때는 학교 방송을 따라 움직입니다,,N
127,유치원,하원 차량 노선 변경 신청은 전날 오후 4시까지 가능합니다,제출,하원차량|노선변경,0.9,Y,차량 노선 변경은 전날 오후 4시까지 신청해 주세요,,Y
128,유치원,유아 기초조사서를 이번 주 금요일까지 제출해 주세요,제출,기초조사서,1.0,Y,금요일까지 유아 기초조사서를 내 주세요,,Y
129,초등학교,현장체험학습 당일에는 도시락 물 물티슈를 준비해 주세요,준비물,도시락|물|물티슈,0.95,Y,현장체험학습 날 도시락 물 물티슈를 준비해 주세요,Vui lòng chuẩn bị cơm hộp nước và khăn ướt cho ngày tham quan,Y
130,초등학교,가정 내 아동학대 예방 안내문을 보호자께서 확인해 주세요,건강·안전,아동학대|예방,0.7,Y,아동학대 예방 안내문을 확인해 주세요,,Y
131,초등학교,시력검사 결과 안과 진료가 필요한 학생은 가정통신문을 확인해 주세요,건강·안전,시력검사|안과,0.8,Y,시력검사 후 병원 진료가 필요하면 안내문을 확인해 주세요,,Y
132,초등학교,졸업식은 2월 7일 금요일 오전 10시에 체육관에서 진행됩니다,일정,졸업식|체육관,0.9,Y,2월 7일 오전 10시에 졸업식이 있습니다,,Y
133,초등학교,교내 와이파이 사용을 위한 정보보호 서약서를 제출해 주세요,제출,와이파이|정보보호,0.85,Y,와이파이 사용 서약서를 내 주세요,,Y
134,초등학교,원격수업 출석 확인은 오전 9시 30분까지 완료해야 합니다,제출,원격수업|출석확인,0.9,Y,오전 9시 30분까지 원격수업 출석을 확인해 주세요,,Y
135,초등학교,다음 주 월요일 현장체험학습 참가 신청서를 담임선생님께 제출해 주세요,제출,현장체험학습|신청서,1.0,Y,다음 주 월요일까지 현장체험학습 신청서를 내 주세요,Vui lòng nộp đơn đăng ký tham quan học tập trước thứ Hai tuần sau,Y
136,유치원,가족 참여 수업 참석 인원을 키즈노트로 알려 주세요,제출,가족참여수업|참석인원,0.9,Y,참석 인원을 키즈노트로 알려 주세요,,Y
137,유치원,학부모 공개수업은 5월 24일 금요일 오전 10시에 시작합니다,일정,공개수업|학부모,0.9,Y,5월 24일 오전 10시에 공개수업이 있습니다,Giờ học mở cho phụ huynh bắt đầu lúc 10 giờ sáng ngày 24 tháng 5,Y
138,초등학교,축구부 공개수업은 4월 12일 운동장에서 진행됩니다,일정,축구부|공개수업,0.7,N,4월 12일 운동장에서 축구부 공개수업이 있습니다,,N
139,유치원,생일잔치 사진은 키즈노트 앨범에서 확인할 수 있습니다,기타,생일잔치|사진,0.4,N,생일잔치 사진은 키즈노트에서 볼 수 있습니다,,N
140,초등학교,학급 생일잔치 간식은 학교에서 준비하므로 개인 간식은 보내지 않습니다,기타,생일잔치|간식,0.55,N,생일잔치 개인 간식은 보내지 않습니다,,N
141,유치원,학부모 참여 급식 모니터링 신청서를 제출해 주세요,제출,급식모니터링|신청서,0.8,Y,급식 모니터링 신청서를 내 주세요,,Y
142,유치원,방과후 특성화 활동 신청서는 3월 15일까지 제출해 주세요,제출,특성화활동|신청서,0.9,Y,3월 15일까지 특성화 활동 신청서를 내 주세요,,Y
143,유치원,새 학기 적응기간에는 오전 활동 후 하원합니다,일정,적응기간|하원,0.85,Y,적응기간에는 오전 활동 후 집에 갑니다,,Y
144,초등학교,실내화는 매주 금요일 가정으로 보내니 세탁 후 월요일에 가져오세요,준비물,실내화|세탁,0.8,Y,실내화를 빨아서 월요일에 가져오세요,Vui lòng giặt dép đi trong lớp và mang lại vào thứ Hai,Y
145,초등학교,독서기록장은 매주 금요일에 확인하니 가정에서 작성 여부를 살펴봐 주세요,기타,독서기록장,0.55,N,매주 금요일 독서기록장을 확인합니다,Sổ ghi chép đọc sách được kiểm tra vào thứ Sáu hằng tuần,N
146,유치원,급식 알레르기가 있는 유아는 알레르기 조사서를 제출해 주세요,제출,급식알레르기|조사서,1.0,Y,알레르기가 있으면 조사서를 내 주세요,,Y
147,유치원,적응기간 하원 시간을 보호자가 확인해 주세요,제출,적응기간|하원시간,0.85,Y,적응기간 하원 시간을 확인해 주세요,,Y
148,초등학교,운동회 개인 돗자리는 학부모석에서만 사용할 수 있습니다,기타,운동회|돗자리,0.55,N,운동회 돗자리는 학부모석에서만 씁니다,,N
149,초등학교,학생증 발급을 위해 증명사진 1장을 보내 주세요,준비물,학생증|증명사진,0.85,Y,학생증을 만들 사진 1장을 보내 주세요,,Y
150,초등학교,수학여행 당일 멀미약은 가정에서 미리 복용하도록 해 주세요,건강·안전,수학여행|멀미약,0.85,Y,멀미약이 필요하면 집에서 미리 먹여 주세요,,Y
151,초등학교,스승의 날에는 청탁금지법에 따라 선물을 받지 않습니다,기타,스승의날|청탁금지법,0.55,N,스승의 날 선물은 받지 않습니다,,N
152,유치원,물놀이 활동은 7월 5일 금요일 유치원 마당에서 진행됩니다,일정,물놀이|7월5일,0.85,Y,7월 5일에 유치원에서 물놀이를 합니다,Hoạt động chơi nước diễn ra ngày 5 tháng 7 tại sân trường mẫu giáo,Y
153,유치원,다음 주 월요일 숲 체험 활동이 있어 편한 운동화를 신겨 보내 주세요,준비물,숲체험|운동화,0.9,Y,숲 체험 날 편한 운동화를 신겨 주세요,Vui lòng cho trẻ mang giày thể thao thoải mái vào ngày trải nghiệm rừng,Y
154,유치원,동물 체험 활동 전 손 씻기와 알레르기 확인이 필요합니다,건강·안전,동물체험|손씻기|알레르기,0.85,Y,동물 체험 전 손 씻기와 알레르기를 확인해 주세요,,Y
155,유치원,소방대피훈련은 6월 4일 오전에 실시됩니다,건강·안전,소방대피훈련,0.7,N,6월 4일 오전에 소방대피훈련을 합니다,,N
156,초등학교,가을 운동회는 10월 4일 금요일 운동장에서 진행됩니다,일정,가을운동회|운동장,0.85,Y,10월 4일에 가을 운동회가 있습니다,,Y
157,유치원,간식비 환불은 장기 결석 시에만 가능합니다,비용,간식비|환불,0.65,N,간식비 환불은 오래 결석할 때만 됩니다,,N
158,유치원,발표회 의상비 25000원을 납부해 주세요,비용,발표회의상비,0.85,Y,발표회 의상비 25000원을 내 주세요,,Y
159,초등학교,개인정보 변경 사항은 학교 앱에서 수정해 주세요,제출,개인정보|변경,0.85,Y,개인정보가 바뀌면 앱에서 고쳐 주세요,,Y
160,유치원,입학식은 3월 4일 월요일 오전 10시에 유희실에서 진행됩니다,일정,입학식|유희실,0.9,Y,3월 4일 오전 10시에 입학식이 있습니다,,Y
161,유치원,개인 장난감은 분실 위험이 있어 원으로 가져오지 않습니다,기타,개인장난감|분실,0.55,N,개인 장난감은 유치원에 가져오지 않습니다,,N
162,초등학교,급식비 지원 신청이 필요한 가정은 행정실로 문의해 주세요,비용,급식비|지원신청,0.8,Y,급식비 지원이 필요하면 행정실에 물어보세요,Nếu cần hỗ trợ tiền ăn vui lòng liên hệ văn phòng hành chính,Y
163,초등학교,학부모 총회 참석 여부를 3월 18일까지 학교 앱으로 응답해 주세요,제출,학부모총회|참석여부,0.95,Y,3월 18일까지 학부모 총회 참석 여부를 알려 주세요,,Y
164,유치원,요리 활동 재료비 8000원을 납부해 주세요,비용,요리활동|재료비,0.85,Y,요리 활동 재료비 8000원을 내 주세요,,Y
165,초등학교,4월 30일까지 개인정보 수집 이용 동의서를 제출해 주세요,제출,개인정보|동의서,1.0,Y,4월 30일까지 개인정보 동의서를 내 주세요,Vui lòng nộp giấy đồng ý thông tin cá nhân trước ngày 30 tháng 4,Y
166,유치원,졸업여행 희망 조사를 키즈노트 설문으로 제출해 주세요,제출,졸업여행|희망조사,0.9,Y,졸업여행 희망 조사를 키즈노트로 내 주세요,,Y
167,초등학교,개학일에는 방학 과제와 실내화를 꼭 가져오세요,준비물,개학일|방학과제|실내화,0.9,Y,개학일에 방학 과제와 실내화를 가져오세요,,Y
168,초등학교,합창부 참가 희망자는 보호자 동의서를 제출해 주세요,제출,합창부|동의서,0.9,Y,합창부를 하려면 보호자 동의서를 내 주세요,,Y
169,초등학교,미술 시간에 사용할 색종이와 풀을 금요일까지 보내 주세요,준비물,색종이|풀,0.85,Y,금요일까지 색종이와 풀을 보내 주세요,,Y
170,초등학교,체험학습 보고서는 등교 후 7일 이내에 제출해야 출석으로 인정됩니다,제출,체험학습|보고서|출석인정,1.0,Y,체험학습 보고서를 7일 안에 내야 출석으로 인정됩니다,Phải nộp báo cáo trải nghiệm trong 7 ngày để được công nhận đi học,Y
171,유치원,숲 체험 참가 동의서를 금요일까지 원으로 보내 주세요,제출,숲체험|동의서,1.0,Y,금요일까지 숲 체험 동의서를 보내 주세요,Vui lòng gửi giấy đồng ý tham gia trải nghiệm rừng trước thứ Sáu,Y
172,유치원,운동회 참석 가족 수를 다음 주까지 알려 주세요,제출,운동회|참석가족,0.9,Y,운동회 참석 가족 수를 알려 주세요,,Y
173,초등학교,학교 도서관 이용 교육이 이번 주 각 학급에서 진행됩니다,기타,도서관|이용교육,0.45,N,이번 주에 도서관 이용 방법을 배웁니다,Tuần này học sinh sẽ học cách sử dụng thư viện,N
174,초등학교,교통안전 캠페인이 다음 주 등교 시간에 실시됩니다,건강·안전,교통안전|캠페인,0.65,N,다음 주 등교 시간에 교통안전 캠페인을 합니다,,N
175,유치원,물놀이 준비물은 수영복 여벌옷 수건 비닐봉투입니다,준비물,수영복|여벌옷|수건,0.95,Y,수영복 여벌옷 수건 비닐봉투를 준비해 주세요,Vui lòng chuẩn bị đồ bơi quần áo thay khăn và túi nilon,Y
176,유치원,동물 체험 참가 동의서를 수요일까지 제출해 주세요,제출,동물체험|동의서,1.0,Y,수요일까지 동물 체험 동의서를 내 주세요,,Y
177,유치원,유아 건강검진 결과지를 아직 제출하지 않은 가정은 이번 주까지 제출해 주세요,제출,건강검진|결과지,1.0,Y,이번 주까지 유아 건강검진 결과지를 내 주세요,Vui lòng nộp giấy kết quả khám sức khỏe trẻ em trong tuần này,Y
178,유치원,간식 신청 변경은 매월 말일까지 가능합니다,제출,간식|변경신청,0.8,Y,간식 신청 변경은 매월 말일까지 할 수 있습니다,,Y
179,초등학교,여름방학 과제 안내장은 방학식 당일 배부됩니다,기타,여름방학|과제,0.45,N,여름방학 과제 안내장은 방학식 날 나갑니다,,N
180,초등학교,학급 준비물로 풀 가위 색연필을 다음 주까지 보내 주세요,준비물,풀|가위|색연필,0.9,Y,다음 주까지 풀 가위 색연필을 보내 주세요,Vui lòng gửi hồ dán kéo và bút màu trước tuần sau,Y
181,유치원,어린이날 행사로 간편한 복장과 운동화를 착용해 주세요,준비물,어린이날|운동화,0.8,Y,어린이날 행사 때 편한 옷과 운동화를 신겨 주세요,,Y
182,초등학교,학교 우유 급식 신청은 4월 5일까지 가능합니다,제출,우유급식|신청,0.85,Y,4월 5일까지 우유 급식을 신청할 수 있습니다,,Y
183,유치원,겨울철 감염병 예방을 위해 마스크 여분을 가방에 넣어 주세요,건강·안전,감염병|마스크여분,0.85,Y,가방에 여분 마스크를 넣어 주세요,,Y
184,유치원,요리 활동을 위해 앞치마와 개인 마스크를 준비해 주세요,준비물,요리활동|앞치마|마스크,0.9,Y,앞치마와 개인 마스크를 준비해 주세요,,Y
185,초등학교,친구사랑 주간 활동지가 배부되었으니 가정에서 함께 작성해 주세요,제출,친구사랑|활동지,0.75,Y,친구사랑 활동지를 집에서 함께 써 주세요,,Y
186,유치원,원복 착용일은 매주 월요일과 행사일입니다,기타,원복|착용일,0.55,N,원복은 월요일과 행사일에 입습니다,,N
187,초등학교,아침 돌봄교실 신청은 선착순으로 접수됩니다,제출,돌봄교실|신청,0.85,Y,아침 돌봄교실은 먼저 신청한 순서로 받습니다,,Y
188,초등학교,온라인 학부모 연수 참여 링크는 당일 오전 문자로 발송됩니다,기타,학부모연수|참여링크,0.55,N,연수 링크는 당일 오전 문자로 보냅니다,,N
189,초등학교,교내 글쓰기 대회 원고는 5월 1일까지 제출합니다,제출,글쓰기대회|원고,0.9,Y,5월 1일까지 글쓰기 대회 원고를 내 주세요,,Y
190,초등학교,생존수영 교육은 6월 3일부터 6월 7일까지 진행됩니다,일정,생존수영|6월3일,0.9,Y,6월 3일부터 6월 7일까지 생존수영을 합니다,Lớp bơi sinh tồn diễn ra từ ngày 3 đến ngày 7 tháng 6,Y
191,유치원,입학식 당일 실내화와 개인 물병을 준비해 주세요,준비물,입학식|실내화|물병,0.9,Y,입학식 날 실내화와 물병을 준비해 주세요,,Y
192,유치원,모기 물림 예방을 위해 야외 활동 전 기피제를 사용해 주세요,건강·안전,모기|야외활동,0.75,Y,야외 활동 전 모기 기피제를 사용해 주세요,,Y
193,초등학교,교내 안전점검으로 5월 17일 방과후 수업이 휴강됩니다,일정,안전점검|방과후휴강,0.85,N,5월 17일 방과후 수업은 쉽니다,,N
194,초등학교,우천 시에도 정상 등교하며 실내 활동으로 대체됩니다,일정,우천|실내활동,0.55,N,비가 와도 학교에 옵니다 활동은 실내에서 합니다,Dù trời mưa học sinh vẫn đi học bình thường và hoạt động trong nhà,N
195,초등학교,인플루엔자 예방접종 여부를 건강조사서에 표시해 주세요,제출,인플루엔자|예방접종,0.9,Y,독감 예방접종 여부를 건강조사서에 써 주세요,,Y
196,유치원,방과후 영어 활동비는 월 20000원입니다,비용,방과후영어|활동비,0.8,Y,방과후 영어 활동비는 한 달 20000원입니다,,Y
197,초등학교,사진 촬영을 원하지 않는 경우 미동의서를 제출해 주세요,제출,사진촬영|미동의서,0.95,Y,사진 촬영을 원하지 않으면 미동의서를 내 주세요,Nếu không muốn chụp ảnh vui lòng nộp giấy không đồng ý,Y
198,유치원,유아학비 지원 신청 안내문을 확인하고 기간 내 신청해 주세요,비용,유아학비|지원신청,0.9,Y,유아학비 지원 안내문을 보고 신청해 주세요,,Y
199,초등학교,여름방학 방과후 프로그램 안내문을 확인하고 희망 강좌를 선택해 주세요,제출,여름방학|방과후|희망강좌,0.85,Y,여름방학 방과후 강좌를 선택해 주세요,Vui lòng chọn lớp sau giờ học cho kỳ nghỉ hè,Y
200,초등학교,체육대회 당일에는 체육복과 운동화를 착용하고 등교해 주세요,준비물,체육대회|체육복|운동화,0.95,Y,체육대회 날 체육복과 운동화를 준비해 주세요,Vui lòng mặc đồng phục thể dục và giày thể thao vào ngày hội thể thao,Y
