lang,label,korean_term,sentence,nllb_translation,glossary_preferred,reflected,status
vi,베트남어,알림장,알림장을 매일 담임교사에게 제출해 주세요.,Hãy gửi báo cáo cho giáo viên giảng dạy mỗi ngày.,sổ liên lạc,N,❌ 누락
vi,베트남어,담임교사,담임교사에게 결석 사유를 알려 주세요.,Hãy nói chuyện với giáo viên giảng dạy.,giáo viên chủ nhiệm,N,❌ 누락
vi,베트남어,방과후 신청서,방과후 신청서를 이번 주 금요일까지 내 주세요.,Hãy nộp đơn sau giờ học vào thứ Sáu tuần này.,,N,—  미등록
vi,베트남어,수업비,"수업비 40,000원을 다음 주까지 납부해 주세요.",Hãy trả 40.000 đô vào tuần tới.,tiền học,N,❌ 누락
vi,베트남어,체험학습,체험학습 신청서를 3일 전에 제출해 주세요.,Hãy nộp đơn học tập trước 3 ngày.,buổi trải nghiệm,N,❌ 누락
vi,베트남어,결석계,결석계를 5일 이내에 담임교사에게 제출합니다.,Chúng tôi sẽ gửi bản kết án cho giáo viên giảng dạy trong vòng 5 ngày.,,N,—  미등록
vi,베트남어,준비물,"내일 준비물은 색종이, 풀, 가위입니다.","Ngày mai, chúng ta sẽ chuẩn bị cho màu sắc, cỏ và cỏ.",đồ dùng cần chuẩn bị,N,❌ 누락
vi,베트남어,공개수업,공개수업은 4월 23일 3교시에 실시됩니다.,Cuộc đấu thầu công khai sẽ diễn ra vào ngày 23 tháng 4 lúc 3 giờ sáng.,tiết học dự giờ,N,❌ 누락
en,영어,알림장,알림장을 매일 담임교사에게 제출해 주세요.,Please submit an alert to the principal every day.,Notice book,N,❌ 누락
en,영어,담임교사,담임교사에게 결석 사유를 알려 주세요.,I'd like you to tell the headmaster the reasoning.,Homeroom teacher,N,❌ 누락
en,영어,방과후 신청서,방과후 신청서를 이번 주 금요일까지 내 주세요.,I'd like you to submit an after-school application by Friday this week.,,N,—  미등록
en,영어,수업비,"수업비 40,000원을 다음 주까지 납부해 주세요.","I'd like you to pay 40,000 for the class next week.",Class fee,N,❌ 누락
en,영어,체험학습,체험학습 신청서를 3일 전에 제출해 주세요.,Please submit your application for an apprenticeship three days in advance.,Field trip,N,❌ 누락
en,영어,결석계,결석계를 5일 이내에 담임교사에게 제출합니다.,I'm going to submit the final report to the principal within five days.,,N,—  미등록
en,영어,준비물,"내일 준비물은 색종이, 풀, 가위입니다.","Tomorrow's preparation is colour, grass, thickness.",Things to bring,N,❌ 누락
en,영어,공개수업,공개수업은 4월 23일 3교시에 실시됩니다.,The public auction will take place on April 23 at 3 p.m.,Open house class,N,❌ 누락
zh,중국어,알림장,알림장을 매일 담임교사에게 제출해 주세요.,请每天向校长提交通知书.,联络簿,N,❌ 누락
zh,중국어,담임교사,담임교사에게 결석 사유를 알려 주세요.,让主任教师知道他的结论.,班主任老师,N,❌ 누락
zh,중국어,방과후 신청서,방과후 신청서를 이번 주 금요일까지 내 주세요.,让我在本周星期五提交课后申请.,,N,—  미등록
zh,중국어,수업비,"수업비 40,000원을 다음 주까지 납부해 주세요.",请在下周之前支付4万美元的学费.,学费,Y,✅ 반영
zh,중국어,체험학습,체험학습 신청서를 3일 전에 제출해 주세요.,请在三天前提交实习申请.,校外体험활동,N,❌ 누락
zh,중국어,결석계,결석계를 5일 이내에 담임교사에게 제출합니다.,"在五天内,我们将结算表递给校长.",,N,—  미등록
zh,중국어,준비물,"내일 준비물은 색종이, 풀, 가위입니다.","明天的准备是颜色,草,.",准备物品,N,❌ 누락
zh,중국어,공개수업,공개수업은 4월 23일 3교시에 실시됩니다.,在4月23日下午3点上市.,公开课,N,❌ 누락
th,태국어,알림장,알림장을 매일 담임교사에게 제출해 주세요.,โปรดส่งใบเตือนให้ครูผู้สอนทุกวัน,สมุดจดแจ้งสำหรับผู้ปกครอง,N,❌ 누락
th,태국어,담임교사,담임교사에게 결석 사유를 알려 주세요.,ให้คุณบอกครูผู้รับผิดชอบถึงข้อสรุป,คุณครูประจำชั้น,N,❌ 누락
th,태국어,방과후 신청서,방과후 신청서를 이번 주 금요일까지 내 주세요.,ขอใบสมัครหลังเลิกเรียนถึงวันศุกร์ของสัปดาห์นี้,,N,—  미등록
th,태국어,수업비,"수업비 40,000원을 다음 주까지 납부해 주세요.","โปรดชําระค่าธรรมเนียม 40,000 บาท ภายในสัปดาห์หน้า",ค่าเรียน,N,❌ 누락
th,태국어,체험학습,체험학습 신청서를 3일 전에 제출해 주세요.,โปรดส่งใบสมัครเรียนก่อน 3 วัน,กิจกรรมเรียนรู้นอกห้องเรียน,N,❌ 누락
th,태국어,결석계,결석계를 5일 이내에 담임교사에게 제출합니다.,ผมส่งรายงานให้ครูผู้สอนภายใน 5 วัน,,N,—  미등록
th,태국어,준비물,"내일 준비물은 색종이, 풀, 가위입니다.","อาหารพรุ่งนี้คือ สี, ผัก, ผัก",สิ่งที่ต้องเตรียมมา,N,❌ 누락
th,태국어,공개수업,공개수업은 4월 23일 3교시에 실시됩니다.,การซื้อขายสาธารณะจะจัดขึ้นในวันที่ 23 เมษายน เวลา 3.00 น.,การเปิดห้องเรียนให้เข้าชม,N,❌ 누락
ja,일본어,알림장,알림장을 매일 담임교사에게 제출해 주세요.,警報を毎日のように 担当教師に提出してください,連絡帳,N,❌ 누락
ja,일본어,담임교사,담임교사에게 결석 사유를 알려 주세요.,補習班の先生に 締めくくりの説明をお願いします,担任の先生,N,❌ 누락
ja,일본어,방과후 신청서,방과후 신청서를 이번 주 금요일까지 내 주세요.,この週金曜日までに 課後申請書を提出してください,,N,—  미등록
ja,일본어,수업비,"수업비 40,000원을 다음 주까지 납부해 주세요.",授業料は4万円です,授業料,Y,✅ 반영
ja,일본어,체험학습,체험학습 신청서를 3일 전에 제출해 주세요.,3日前に応募してください,体験学習,N,❌ 누락
ja,일본어,결석계,결석계를 5일 이내에 담임교사에게 제출합니다.,5日以内に卒業式を 教長に提出します,,N,—  미등록
ja,일본어,준비물,"내일 준비물은 색종이, 풀, 가위입니다.",明日の準備はカラーや草やガッテンです,持ち物,N,❌ 누락
ja,일본어,공개수업,공개수업은 4월 23일 3교시에 실시됩니다.,4月23日 (日) 午後3時に公募が行われます,授業参観,N,❌ 누락
ru,러시아어,알림장,알림장을 매일 담임교사에게 제출해 주세요.,"Пожалуйста, ежедневно отправляйте уведомление к преподавателю.",дневник или тетрадь для заметок,N,❌ 누락
ru,러시아어,담임교사,담임교사에게 결석 사유를 알려 주세요.,"Пожалуйста, расскажите своему преподавателю о своем заключении.",классный руководитель (воспитатель),N,❌ 누락
ru,러시아어,방과후 신청서,방과후 신청서를 이번 주 금요일까지 내 주세요.,Вы можете подать заявку после школы до пятницы этой недели.,,N,—  미등록
ru,러시아어,수업비,"수업비 40,000원을 다음 주까지 납부해 주세요.",На следующей неделе заплатите 40 000 долларов за обучение.,оплата за занятия,N,❌ 누락
ru,러시아어,체험학습,체험학습 신청서를 3일 전에 제출해 주세요.,"Пожалуйста, подавайте заявку на обучение за три дня.",учебная экскурсия,N,❌ 누락
ru,러시아어,결석계,결석계를 5일 이내에 담임교사에게 제출합니다.,В течение пяти дней я должен представить его преподавателю.,,N,—  미등록
ru,러시아어,준비물,"내일 준비물은 색종이, 풀, 가위입니다.","Завтра мы будем готовить цветы, траву и огурцы.",что нужно принести,N,❌ 누락
ru,러시아어,공개수업,공개수업은 4월 23일 3교시에 실시됩니다.,Открытые аукционы пройдут 23 апреля в три часа ночи.,открытый урок,N,❌ 누락
ms,말레이시아어,알림장,알림장을 매일 담임교사에게 제출해 주세요.,Sila hantar surat pemberitahuan kepada guru setiap hari.,buku makluman,N,❌ 누락
ms,말레이시아어,담임교사,담임교사에게 결석 사유를 알려 주세요.,Beritahu jururawat anda apa yang anda maksudkan.,guru kelas,N,❌ 누락
ms,말레이시아어,방과후 신청서,방과후 신청서를 이번 주 금요일까지 내 주세요.,Anda boleh hantar permohonan selepas sekolah sehingga Jumaat minggu ini.,,N,—  미등록
ms,말레이시아어,수업비,"수업비 40,000원을 다음 주까지 납부해 주세요.","Pergilah membayar kos kelas 40,000 sehingga minggu depan.",yuran kelas,N,❌ 누락
ms,말레이시아어,체험학습,체험학습 신청서를 3일 전에 제출해 주세요.,Sila kirimkan permohonan anda tiga hari sebelum tamat pengajian.,aktiviti pembelajaran luar kelas,N,❌ 누락
ms,말레이시아어,결석계,결석계를 5일 이내에 담임교사에게 제출합니다.,Saya akan menghantar fail kepada guru dalam masa lima hari.,,N,—  미등록
ms,말레이시아어,준비물,"내일 준비물은 색종이, 풀, 가위입니다.","Keadaan esok ialah warna, rumput, kulit.",barang yang perlu dibawa,N,❌ 누락
ms,말레이시아어,공개수업,공개수업은 4월 23일 3교시에 실시됩니다.,Pengundian awam akan diadakan pada 23 April pada jam 3 petang.,kelas terbuka,N,❌ 누락
mn,몽골어,알림장,알림장을 매일 담임교사에게 제출해 주세요.,Та нар өдөр бүр анхааруулгыг багшийн өмгөөлөгчдэд хүргүүлээрэй.,мэдэгдэл,N,❌ 누락
mn,몽골어,담임교사,담임교사에게 결석 사유를 알려 주세요.,Та нар багшийнхээ дүгнэлтэд хүргэж өгөөч.,анги даасан багш,N,❌ 누락
mn,몽골어,방과후 신청서,방과후 신청서를 이번 주 금요일까지 내 주세요.,Сургуулийн дараах хүсэлтээ энэ долоо хоногийн пүрэв гараг хүртэл өгөөч.,,N,—  미등록
mn,몽골어,수업비,"수업비 40,000원을 다음 주까지 납부해 주세요.",Ирэх долоо хоногт 40 мянган төгрөгийн сургалтын төлбөрийг төлж өгөөч.,хичээлийн төлбөр,N,❌ 누락
mn,몽골어,체험학습,체험학습 신청서를 3일 전에 제출해 주세요.,Оюутны сургалтын хүсэлтээ 3 хоногийн өмнө ирүүлнэ үү?,танин мэдэхүйн аялал,N,❌ 누락
mn,몽골어,결석계,결석계를 5일 이내에 담임교사에게 제출합니다.,5 хоногийн дотор дэд багшийн дүгнэлтийг хүргүүлнэ.,,N,—  미등록
mn,몽골어,준비물,"내일 준비물은 색종이, 풀, 가위입니다.","Маргаашгийн бэлтгэл зүйл нь арьс, ургамал, ногоо юм.",бэлдэх зүйлс,N,❌ 누락
mn,몽골어,공개수업,공개수업은 4월 23일 3교시에 실시됩니다.,Олон нийтийн худалдан авалт дөрөвдүгээр сарын 23-ны өдрийн 3 цагт болно.,нээлттэй хичээл,N,❌ 누락
