korean,preferred_vi,preferred_en,preferred_zh,preferred_th,preferred_ms,preferred_mn,preferred_ru,preferred_ja,note
앞치마,tạp dề,Apron,围裙,ผ้ากันเปื้อน,apron,хормогч,фартук,エプロン,유치원 요리/김장 활동 준비물
머릿수건,khăn trùm đầu,Bandana,头巾,ผ้าโพกหัว,kain penutup kepala,толгойны алчуур,косынка,三角巾,유치원 요리/김장 활동 준비물
체험학습,buổi trải nghiệm,Field trip,校外体험활동,กิจกรรมเรียนรู้นอกห้องเรียน,aktiviti pembelajaran luar kelas,танин мэдэхүйн аялал,учебная экскурсия,体験学習,학교 체험 활동
현장체험학습,buổi trải nghiệm thực tế,Field trip,户外体验活动,ทัศนศึกษานอกสถานที่,lawatan sambil belajar di luar sekolah,сургалтын аялал,выездная экскурсия,校外学習,학교 밖 체험학습
원복,đồng phục trường,Kindergarten/Preschool uniform,园服,ชุดนักเรียน/ชุดอนุบาล,uniform tadika,цэцэрлэгийн дүрэмт хувцас,форма садика,園服,유치원 지정 복장
도화지,giấy vẽ,Drawing paper,画纸,กระดาษวาดเขียน,kertas lukisan,зургийн цаас,бумага для рисования,画用紙,미술 준비물
색칠 도구,đồ dùng tô màu,Coloring tools,涂色工具,อุปกรณ์ระบายสี,alat mewarna,будах хэрэгсэл,всё для раскрашивания,お絵描きセット,미술 준비물
정서행동 검사,kiểm tra tâm lý và hành vi,Emotional & behavioral screening,心理情绪检查,แบบประเมินพฤติกรรมและอารมณ์,ujian emosi dan tingkah laku,сэтгэл зүйн сорил,тест на эмоциональное состояние,情緒・行動チェック,학생 검사
돌봄교실,lớp chăm sóc trẻ,After-school care,托管班,ห้องเรียนดูแลเด็กหลังเลิกเรียน,kelas jagaan (daycare),өдөр өнжүүлэх анги,продленка,学童保育,초등 돌봄
방과후학교,lớp học sau giờ học,After-school programs,课后班,กิจกรรมหลังเลิกเรียน,program selepas sekolah,хичээлээс гадуурх дугуйлан,занятия после школы,放課後教室,방과후 프로그램
하원,tan trường (về nhà),Pick-up,放学,กลับบ้านจากโรงเรียน/ศูนย์เด็กเล็ก,pulang dari tadika/sekolah,цэцэрлэгээс гэртээ харих,уход домой (из садика),降園,유치원 귀가
등원,đi học (đến trường),Drop-off,上学,ไปโรงเรียน/ไปศูนย์เด็กเล็ก,hadir ke tadika/sekolah,цэцэрлэгт ирэх,приход в садик,登園,유치원 등교
가정통신문,thông báo gửi gia đình,Newsletter,家长通知书,จดหมายแจ้งจากโรงเรียน,surat makluman,мэдэгдэх хуудас,информационное письмо для родителей,お便り,기타
알림장,sổ liên lạc,Notice book,联络簿,สมุดจดแจ้งสำหรับผู้ปกครอง,buku makluman,мэдэгдэл,дневник или тетрадь для заметок,連絡帳,기타
공지사항,thông báo,Announcements,公告事项,ประกาศแจ้งให้ทราบ,pengumuman,зарлал,важные объявления,お知らせ,기타
동의서,giấy đồng ý,Consent form,同意书,ใบยินยอม,borang izin,зөвшөөрлийн хуудас,согласие,同意書,제출 서류
신청서,đơn đăng ký,Sign-up form,申请表,ใบสมัคร,borang permohonan,хүсэлт,заявление,申し込み書,제출 서류
조사서,phiếu khảo sát,Survey,调查表,แบบสอบถามข้อมูล,borang kaji selidik,судалгаа,анкета или опросник,調査票,제출 서류
확인서,giấy xác nhận,Confirmation form,确认书,ใบยืนยัน,borang pengesahan,тодорхойлолт,справка,確認書,제출 서류
안내문,tờ hướng dẫn,Information notice,通知说明,เอกสารแจ้งรายละเอียด,surat panduan,зааварчилгаа,памятка (информация),ご案内,기타
회신,phản hồi lại,Reply,回执,การตอบกลับ,jawapan/balasan,хариу илгээх,ответ,お返事,제출
제출,nộp,Submit,交回,การส่งเอกสาร,hantar,хураалгах,сдача,提出,행동 동사
서명,ký tên,Signature,签名,เซ็นชื่อ,tandatangan,гарын үсэг,подпись,署名,행동 동사
참가 여부,việc có tham gia hay không,RSVP,是否参加,การยืนยันเข้าร่วมหรือไม่เข้าร่วม,penyertaan,оролцох эсэх,участие,出欠,제출
불참,không tham gia,Not attending,不参加,ไม่เข้าร่วม,tidak hadir,оролцохгүй,неучастие,欠席,제출
기한,thời hạn,Due date,截止时间,กำหนดส่ง,tempoh masa,хугацаа,срок,期限,일정
마감일,ngày hết hạn,Deadline,截止日期,วันสุดท้าย/วันปิดรับ,tarikh tutup,дуусах хугацаа,последний день сдачи,締め切り日,일정
준비물,đồ dùng cần chuẩn bị,Things to bring,准备物品,สิ่งที่ต้องเตรียมมา,barang yang perlu dibawa,бэлдэх зүйлс,что нужно принести,持ち物,준비물 범주
실내화,dép đi trong nhà,Indoor shoes,室内鞋,รองเท้าสำหรับใส่ในอาคาร,kasut dalam bangunan,дотор өмсөх шаахай,сменка (сменная обувь),上履き,준비물
체육복,đồ thể dục,Gym clothes,运动服,ชุดพละ,baju sukan,биеийн тамирын хувцас,спортивная форма,体操服,준비물
여벌옷,quần áo dự phòng,Extra set of clothes,备用衣服,ชุดสำรองสำหรับเปลี่ยน,baju salin,солих хувцас,сменная одежда,着替え,준비물
개인 물병,bình nước cá nhân,Water bottle,个人水壶,กระติกน้ำส่วนตัว,botol air sendiri,хувийн усны сав,личная бутылочка для воды,水筒,준비물
도시락,cơm hộp,Lunch box,便当,ข้าวกล่อง,bekal makanan,бэлдсэн хоол,ланч-бокс (еда с собой),お弁当,준비물
간식,đồ ăn nhẹ,Snack,点心,ขนม,snek,хөнгөн зууш,перекус,おやつ,준비물/비용
간식비,tiền ăn nhẹ,Snack fee,点心费,ค่าขนม,duit snek,зуушны мөнгө,оплата за перекус,おやつ代,비용
돗자리,thảm ngồi,Picnic mat,野餐垫,เสื่อ,tikar,дэвсгер,коврик для пикника,レジャーシート,준비물
색종이,giấy màu,Colored paper,折纸,กระดาษสี,kertas warna,өнгөт цаас,цветная бумага,折り紙,준비물
풀,hồ dán,Glue,胶水,กาว,gam,цавуу,клей,のり,준비물
가위,kéo,Scissors,剪刀,กรรไกร,gunting,хайч,ножницы,はさみ,준비물
크레파스,bút màu sáp,Crayons,蜡笔,สีเทียน,krayon,тосон харандаа,мелки или масляная пастель,クレヨン,준비물
네임펜,bút dạ viết tên,Permanent marker,姓名笔,ปากกาเขียนชื่อ,pen penanda,нэр бичдэг маркер,перманентный маркер,お名前ペン,준비물
스쿨뱅킹,School Banking,School Banking,School Banking（学校自动扣款服务）,School Banking,School Banking,School Banking,School Banking,スクールバンキング,납부 방식
납부,đóng tiền,Payment,缴纳费用,การชำระเงิน,bayaran,төлбөр төлөх,оплата,お支払い,비용 행동
자동이체,chuyển khoản tự động,Auto-pay,自动转账,การหักบัญชีอัตโนมัติ,potongan automatik,автомат шилжүүлэг,автоплатеж,引き落とし,비용 행동
교육비,tiền học phí,Tuition,教育费,ค่าเล่าเรียน,yuran sekolah,сургалтын төлбөр,плата за обучение,教育費,비용
급식비,tiền ăn ở trường,Lunch fee,伙食费,ค่าอาหารกลางวัน,yuran makan,хоолны мөнгө,плата за питание,給食費,비용
체험학습비,phí trải nghiệm,Field trip fee,校外活动费,ค่ากิจกรรมทัศนศึกษา,yuran lawatan,аяллын зардал,оплата за экскурсию,体験学習費,비용
등교,đi học,Coming to school,上学,การไปโรงเรียน,datang ke sekolah,хичээлд ирэх,приход в школу,登校,초등학교 등교
하교,tan học,Going home,放学,การเลิกเรียน/กลับบ้าน,balik dari sekolah,хичээл тарах,уход из школы,下校,초등학교 하교
결석,nghỉ học,Absence,缺席,การขาดเรียน/ลาหยุด,tidak hadir,таслах,пропуск (отсутствие),欠席,출결
지각,đi muộn,Late,迟到,การมาสาย,datang lewat,хоцрох,опоздание,遅刻,출결
조퇴,về sớm,Early dismissal,早退,การขอกลับก่อนเวลา,balik awal,эрт харих,уход пораньше,早退,출결
전학,chuyển trường,Transferring schools,转学,การย้ายโรงเรียน,pindah sekolah,сургууль шилжих,переход в другую школу,転校,출결/학적
출석인정,được tính là có mặt,Recognized attendance,视为出席,นับว่าเข้าเรียน,dikira hadir,ирцэд тооцох,считается присутствующим,出席として認める,출결
출결,tình trạng chuyên cần,Attendance,出勤情况,การมาเรียน/การขาดเรียน,rekod kehadiran,ирц,посещаемость,出欠,출결
담임교사,giáo viên chủ nhiệm,Homeroom teacher,班主任老师,คุณครูประจำชั้น,guru kelas,анги даасан багш,классный руководитель (воспитатель),担任の先生,학교 담당자
원장,hiệu trưởng,Director,园长,ผู้อำนวยการโรงเรียน/ศูนย์เด็กเล็ก,pengarah tadika,эрхлэгч,заведующая (директор),園長先生,유치원 담당자
교무실,phòng giáo vụ,School office,教务处,ห้องพักครู,bilik guru,багш нарын өрөө,учительская,職員室,학교 부서
행정실,phòng hành chính,Admin office,行政室,ห้องธุรการ,pejabat,захиргааны өрөө,администрация,事務室,학교 부서
상담,tư vấn/trao đổi,Consultation,面谈咨询,การปรึกษา,sesi berjumpa guru,зөвлөгөө,консультация (беседа),面談,상담
학부모 상담,buổi trao đổi với phụ huynh,Parent-teacher conference,家长面谈,การพบครูของผู้ปกครอง,perjumpaan ibu bapa,эцэг эхийн зөвлөгөө,беседа с родителями,保護者面談,상담
공개수업,tiết học dự giờ,Open house class,公开课,การเปิดห้องเรียนให้เข้าชม,kelas terbuka,нээлттэй хичээл,открытый урок,授業参観,일정
학부모 총회,họp phụ huynh đầu năm,General parent meeting,家长会,งานประชุมผู้ปกครอง,mesyuarat ibu bapa,эцэг эхийн хурал,родительское собрание,保護者会,일정
운동회,hội thao,Field day,运动会,งานกีฬาสี,hari sukan,спортын өдөрлөг,спортивный праздник,運動会,행사
학예회,buổi biểu diễn văn nghệ,Talent show,才艺表演,งานแสดงผลงานนักเรียน,hari persembahan,урлагийн наадам,школьный фестиваль (концерт),学習発表会,행사
소풍,đi dã ngoại,School picnic,郊游,การไปทัศนศึกษา/ปิกนิก,berkelah,салхинд гарах,пикник (прогулка),遠足,행사
수련회,buổi sinh hoạt tập thể,School retreat,研学营,การเข้าค่าย,kem sekolah,зуслан,поездка в лагерь,宿泊学習,일정
방학,kỳ nghỉ,School break,假期,ปิดเทอม,cuti sekolah,амралт,каникулы,長期休み,일정
개학,ngày bắt đầu học kỳ mới,First day of school,开学,เปิดเทอม,sekolah buka semula,хичээл эхлэх,начало учебы,始業日,일정
입학식,lễ nhập học,Entrance ceremony,入学典礼,พิธีปฐมนิเทศ/งานเข้าเรียน,hari pendaftaran,элсэлтийн баяр,церемония поступления,入学式・入園式,행사
졸업식,lễ tốt nghiệp,Graduation,毕业典礼,งานจบการศึกษา,majlis graduasi,төгсөлтийн баяр,выпускной,卒業式・卒園式,행사
종업식,lễ bế giảng năm học,Last day of school,结业典礼,พิธีปิดภาคเรียน,majlis akhir tahun,хичээлийн жилийн хаалтын ёслол,окончание учебного года,修了式,일정
학급,lớp học,Class,班级,ชั้นเรียน,kelas,анги,класс,クラス,학교 단위
학년,khối lớp,Grade,年级,ระดับชั้น,tahun/darjah,ангийн түвшин,год обучения (класс),学年,학교 단위
반,lớp,Class,班,ห้อง,kelas,анги,группа или класс,組,학교 단위
번호,số thứ tự,Student number,学号,เลขที่,nombor,дугаар,номер в списке,出席番号,학교 단위
급식,bữa ăn ở trường,School lunch,校餐,อาหารกลางวัน,makanan sekolah,сургуулийн хоол,питание в школе,給食,급식
식단표,thực đơn,Lunch menu,每周菜单,รายการอาหาร,menu makanan,хоолны цэс,меню,献立表,급식
알레르기,dị ứng,Allergy,过敏,อาการแพ้,alahan,харшил,аллергия,アレルギー,건강
예방접종,tiêm phòng,Vaccination,疫苗接种,การฉีดวัคซีน,suntikan vaksin,вакцин,прививка,予防接種,건강
건강검진,khám sức khỏe,Health check-up,健康体检,การตรวจสุขภาพ,pemeriksaan kesihatan,эрүүл мэндийн үзлэг,медосмотр,健康診断,건강
신체검사,kiểm tra thể chất,Physical exam,身体检查,การตรวจร่างกาย,pemeriksaan fizikal,биеийн үзлэг,проверка роста и веса,身体測定,건강
감염병,bệnh truyền nhiễm,Contagious illness,传染病,โรคติดต่อ,penyakit berjangkit,халдварт өвчин,инфекция,感染症,건강
머릿니,chấy rận,Head lice,头虱,เหา,kutu rambut,толгойны бөөс,вши,アタマジラミ,건강
독감,cúm,Flu,流感,ไข้หวัดใหญ่,selesema,томуу,грипп,インフルエンザ,건강
코로나,COVID-19,COVID-19,COVID-19,COVID-19,COVID-19,COVID-19,COVID-19,COVID-19,건강
미세먼지,bụi mịn,Fine dust,PM2.5 / 细颗粒物,ฝุ่นละอองขนาดเล็ก (PM 2.5),habuk halus / PM2.5,нарийн ширхэгт тоос,пыль (загрязнение воздуха),PM2.5,건강
안전교육,giáo dục an toàn,Safety education,安全教育,การเรียนรู้เรื่องความปลอดภัย,didikan keselamatan,аюулгүй байдлын хичээл,уроки безопасности,安全教育,안전
재난대피훈련,diễn tập sơ tán,Disaster drill,避险演练,การซ้อมอพยพหนีภัย,latihan kecemasan,гамшгаас хамгаалах сургуулилт,тренировка на случай ЧП,避難訓練,안전
학교폭력,bạo lực học đường,School bullying,校园暴力,ความรุนแรงในโรงเรียน,buli di sekolah,сургуулийн хүчирхийлэл,школьное насилие (буллинг),いじめ,안전
생활지도,hướng dẫn sinh hoạt,Student guidance,生活指导,การแนะนำระเบียบวินัยและการใช้ชีวิต,bimbingan tingkah laku,хүмүүжлийн заавар,правила поведения,生活指導,건강·안전
교통안전,an toàn giao thông,Traffic safety,交通安全,ความปลอดภัยทางจราจร,keselamatan jalan raya,замын хөдөлгөөний аюулгүй байдал,дорожная безопасность,交通安全,안전
귀가 동의,đồng ý về cách về nhà,Home dismissal consent,放学回家同意,ยินยอมการกลับบ้าน,kebenaran balik rumah,гэртээ харих зөвшөөрөл,согласие на уход домой,帰宅方法の同意,제출
귀가 동의서,giấy đồng ý về cách về nhà,Home dismissal consent form,放学回家同意书,ใบยินยอมการกลับบ้าน,borang kebenaran balik rumah,гэртээ харих зөвшөөрлийн маягт,согласие на самостоятельный уход домой,帰宅方法同意書,제출 서류
응급처치,sơ cứu,First aid,急救措施,การปฐมพยาบาล,pertolongan cemas,анхны тусламж,первая помощь,応急処置,건강/안전
투약 의뢰서,phiếu yêu cầu cho trẻ uống thuốc,Medication request form,服药委托书,ใบคำขอให้ช่วยป้อนยา,borang permohonan pemberian ubat,эм өгөх хүсэлт,просьба дать лекарство,投薬依頼書,제출 서류
칫솔,bàn chải đánh răng,Toothbrush,牙刷,แปรงสีฟัน,berus gigi,шүдний сойз,зубная щетка,歯ブラシ,준비물
컵,cốc nước,Cup,杯子,แก้วน้ำ,cawan,аяга,кружка,コップ,준비물
수건,khăn mặt,Towel,毛巾,ผ้าเช็ดหน้า/ผ้าเช็ดตัว,tuala,алчуур,полотенце,タオル,준비물
방과후 신청,đăng ký học sau giờ học,After-school sign-up,课后班申请,การสมัครเรียนเสริมหลังเลิกเรียน,mohon kelas selepas sekolah,дугуйланд бүртгүүлэх,запись на кружки,放課後教室の申し込み,제출
돌봄 신청,đăng ký lớp chăm sóc trẻ,Care program sign-up,托管申请,การสมัครเข้าห้องดูแลเด็ก,mohon jagaan pelajar,өдөр өнжүүлэхэд бүртгүүлэх,запись в группу продленки,学童の申し込み,제출
키즈노트,Kids Note(키즈노트),Kids Note(키즈노트),Kids Note(키즈노트),Kids Note(키즈노트),Kids Note(키즈노트),Kids Note(키즈노트),Kids Note(키즈노트),Kids Note(키즈노트),서비스명
학교종이,Hakgyo Jongi(학교종이),Hakgyo Jongi(학교종이),Hakgyo Jongi(학교종이),Hakgyo Jongi(학교종이),Hakgyo Jongi(학교종이),Hakgyo Jongi(학교종이),Hakgyo Jongi(학교종이),Hakgyo Jongi（학교종이）,서비스명 확인완료
하이클래스,HiClass(하이클래스),HiClass(하이클래스),HiClass(하이클래스),HiClass(하이클래스),HiClass(하이클래스),HiClass(하이클래스),HiClass(하이클래스),HiClass（ハイクラス）,서비스명
e알리미,e-Alimi(e알리미),e-Alimi(e알리미),e-Alimi(e알리미),e-Alimi(e알리미),e-Alimi(e알리미),e-Alimi(e알리미),e-Alimi(e알리미),e-Alimi（e알리미）,서비스명
숙제,bài tập về nhà,Homework,作业,การบ้าน,kerja sekolah,гэрийн даалгавар,домашнее задание,宿題,기타
수행평가,đánh giá thực hiện,Performance assessment,学业表现评价,การประเมินผลการเรียน,penilaian prestasi,гүйцэтгэлийн үнэлгээ,оценivание выполнения задания,パフォーマンス評価,기타
준비 학습,chuẩn bị bài học,Prep work,预习,การเตรียมตัวก่อนเรียน,belajar persediaan,хичээлийн бэлтгэл,подготовка к уроку,予習,기타
독서 활동,hoạt động đọc sách,Reading activity,阅读活动,กิจกรรมการอ่านหนังสือ,aktiviti membaca,ном унших цаг,чтение книг,読書活動,기타
방학 과제,bài tập kỳ nghỉ,Vacation homework,假期作业,งานที่ต้องทำช่วงปิดเทอม,tugasan cuti sekolah,амралтын даалгавар,задание на каникулы,長期休みの宿題,기타
개인정보 동의서,giấy đồng ý cung cấp/sử dụng thông tin cá nhân,Privacy consent form,个人信息同意书,ใบยินยอมให้ข้อมูลส่วนบุคคล,borang izin maklumat peribadi,хувийн мэдээллийн зөвшөөрөл,согласие на использование личных данных,個人情報同意書,제출
응급 연락처,số liên lạc khẩn cấp,Emergency contact,紧急联系方式,เบอร์ติดต่อฉุกเฉิน,nombor kecemasan,яаралтай үед холбоо барих утас,экстренный номер телефона,緊急連絡先,건강·안전
보호자,phụ huynh/người bảo hộ,Parent/Guardian,家长,ผู้ปกครอง,penjaga,асран хамгаалагч,родитель (опекун),保護者,기타
보호자 서명,chữ ký của phụ huynh/người giám hộ,Parent's signature,家长签字,ลายเซ็นผู้ปกครอง,tandatangan penjaga,асран хамгаалагчийн гарын үсэг,подпись родителя,保護者署名,제출
비상 연락망,danh sách liên lạc khẩn cấp,Emergency contact list,紧急联系网,รายชื่อติดต่อยามฉุกเฉิน,senarai nombor kecemasan,яаралтай холбоо барих дугаар,контакты для экстренной связи,緊急連絡網,건강·안전
우산,cái ô,Umbrella,雨伞,ร่ม,payung,шүхэр,зонтик,傘,준비물
마스크,khẩu trang,Mask,口罩,หน้ากากอนามัย,pelitup muka,амны хаалт,маска,マスク,건강·안전
여분 마스크,khẩu trang dự phòng,Extra mask,备用口罩,หน้ากากอนามัยสำรอง,pelitup muka simpanan,илүү амны хаалт,запасная маска,予備のマスク,건강·안전
손 소독제,nước rửa tay khô,Hand sanitizer,手部消毒液,เจลล้างมือ,pencuci tangan,гар ариутгагч,антисептик для рук,除菌ジェル,건강·안전
실습복,đồ thực hành,Activity clothes,活动服,ชุดสำหรับฝึกปฏิบัติ,baju praktikal,дадлагын хувцас,рабочая одежда,活動着,준비물
우천 시,trường hợp trời mưa,In case of rain,下雨时,ในกรณีที่ฝนตก,jika hujan,бороо орсон тохиолдолд,в случае дождя,雨天の場合,일정
연기,hoãn lại,Postponed,推迟,การเลื่อนกำหนดการ,tangguhkan,хойшлуулах,перенос (на другой день),延期,일정
취소,hủy bỏ,Canceled,取消,การยกเลิก,batal,цуцлах,отмена,中止,일정
변경 사항,nội dung thay đổi,Changes,变更事项,สิ่งที่เปลี่ยนแปลงไป/ข้อมูลแก้ไข,perubahan,өөрчлөгдсөн зүйлс,изменения,変更事項,기타
원,won (KRW),KRW (Korean won),韩元 (KRW),วอนเกาหลี (KRW),KRW (won Korea),солонгос вон (KRW),корейская вона (KRW),ウォン (KRW),한국 통화 단위 (₩)
수업비,tiền học,Class fee,学费,ค่าเรียน,yuran kelas,хичээлийн төлбөр,оплата за занятия,授業料,비용
수업료,học phí,Tuition,学费,ค่าเล่าเรียน/ค่าเทอม,yuran sekolah,сургалтын төлбөр,стоимость обучения,授業料,비용
방과후 수업,lớp học thêm sau giờ học,After-school class,课后课,เรียนเสริมหลังเลิกเรียน,kelas selepas sekolah,дугуйлангийн хичээл,занятия после школы,放課後授業,일정
영어 수업,lớp học tiếng Anh,English class,英语课,เรียนภาษาอังกฤษ,kelas Bahasa Inggeris,англи хэлний хичээл,уроки английского,英語の授業,일정
교재,sách giáo khoa/giáo trình,Learning materials,教材,หนังสือเรียน/แบบฝึกหัด,bahan belajar,сурах бичиг,учебные материалы,教材,준비물
필통,hộp bút,Pencil case,铅笔盒,กล่องดินสอ,kotak pensel,үзгэн хайрцаг,пенал,筆箱,준비물
색연필,bút chì màu,Colored pencils,彩色铅笔,สีไม้,pensel warna,өнгөт харандаа,цветные карандаши,色鉛筆,준비물
연필,bút chì,Pencil,铅笔,ดินสอ,pensel,харандаа,карандаш,鉛筆,준비물
지우개,cục tẩy,Eraser,橡皮,ยางลบ,pemadam,баллуур,ластик,消しゴム,준비물
공책,quyển vở,Notebook,笔记本,สมุด,buku tulis,дэвтэр,тетрадь,ノート,준비물
보호자 연락처,số điện thoại phụ huynh,Parent's contact info,家长联系电话,เบอร์ติดต่อผู้ปกครอง,nombor telefon penjaga,асран хамгаалагчийн утасны дугаар,номер телефона родителя,保護者の連絡先,건강·안전
오후,buổi chiều,PM,下午,ช่วงบ่าย,petang,үдээс хойш,после обеда (днем),午後,일정
오전,buổi sáng,AM,上午,ช่วงเช้า,pagi,үдээс өмнө,до обеда (утром),午前,일정
월요일,Thứ Hai,Monday,星期一,วันจันทร์,Isnin,даваа гараг,понедельник,月曜日,일정
화요일,Thứ Ba,Tuesday,星期二,วันอังคาร,Selasa,мягмар гараг,вторник,火曜日,일정
수요일,Thứ Tư,Wednesday,星期三,วันพุธ,Rabu,лхагва гараг,среда,水曜日,일정
목요일,Thứ Năm,Thursday,星期四,วันพฤหัสบดี,Khamis,пүрэв гараг,четверг,木曜日,일정
금요일,Thứ Sáu,Friday,星期五,วันศุกร์,Jumaat,баасан гараг,пятница,金曜日,일정
귀가,về nhà,Going home,回家,การกลับบ้าน,balik rumah,харих,возвращение домой,帰り,일정
